Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8383b408d24d3ecbc89d3d859e2bdfcf5c1f39b07e475b34e3d54071dda210d3,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
27315f469baffc3f0bd1b6298711212231652ede2c8d0b6c440b3039cb2fc876,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
78040516850e7777c41f53736ce5b91629f962eb1e11be7bbb28a24cd90010ff,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
3acdf6262249ece2a458507b16340840f9f7c2fc565e75cbb9657c7c0270c1a7,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
866e8816694f2fd4b196d2cdaf1021f0e568b7c24dbec82d7e5ca0f4d1b37b8d,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
27315f469baffc3f0bd1b6298711212231652ede2c8d0b6c440b3039cb2fc876,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
0bf4f344a3dd547dda0d10f5a37e55829b5e86e0f7a810ce8fffd3129fe906aa,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
4228333c32917619d6b8fb97b6280e0fe96508f732ca3a2f05f2aa3aa07cc229,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
77f71688cfda01e531660f499cb87be26a103a93b0665c4e56d29e5f987dc9c5,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
df798f70808c4fbb870f6c685ae3b0eb44b7e8c94b5b0c8803251f5288c5d0da,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.235668,50.979642,On or near BEECH GROVE,E01029312,Taunton Deane 012C,Formal action is not in the public interest
084e869d7f40fbc3358367ef4fa8bc0f8dc8830c4a83675b174b1a5a87ad4fbb,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
273d1377b5768c62053713368fbfcc4bed01e1fec88fe5d1571d92a6800dce55,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.913084,51.362450,On or near COKER ROAD,E01014835,North Somerset 016C,Suspect charged
6b9b35c9f795e75f0df194408ebc851bb3bb81184d6203cfc4404b5f75a0058b,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
5821351197e20d0b36dfd2abe51a5941f0d615b7102162c91c0b3588ce259432,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
d54cea3705da764ac62d925786e9609577034142f2b3a268d876386c12c26029,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
14a5e44c5e5604f958388c8edc04d58ef23de3125cb26700e9651b270485a98d,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
0ea1c36e187e3a3967fa079fae61f3551b22255b37dc684058345d09e5e26cb1,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
19481a8efc42d73604f65e6973983233ede4396bfa0852555ac4f84af5682711,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
8c8445d457962532250669e8e1e029bdb8724654e174d3b0a30bb0100d762a4d,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
4ff6bf34ae6a71257bcd8015292088433bb6efaaa246db4b989a190aeab25345,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f088ee48da366dbb9bf00aeceb2569a4d24e8f58137782f7860fa0e7a25a28e6,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
82cae7790346cfa5897ed2282b3070afedb96a90ea851afc4c52388c418cabcf,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
3ca0c76b72e9d4f0ff36daa9e9aaf2a074fd4d4a07e7b16690b310be63526365,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
dce4db747fa24117acbba4649cc371a60c034fb2a5e68bae150498eb187eada1,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
8ef061a0d93a99070c87ed9dc9005312b7161b9b8be946e1367cca5bd9ba57a3,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
6530942f2c58885b08cd01fdacd192a9d0edf4be2a639c58f55420df35ec9fcc,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
501c6249d77992964ef00d9a6f97c645779306a2d70b174e578a463c25ff4c7c,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
59dcb690a035722d82b5d142a2640ea70a71c4481f17682b9f1563238e242e07,2019-01,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
