Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0cfcc44ff3210c86be144e07d2e12aff22c27d78d69b6246a83ee169ecf390d4,2019-01,Bedfordshire Police,Bedfordshire Police,-0.521906,51.888041,On or near VERNON PLACE,E01017568,Central Bedfordshire 029C,Suspect charged
6f2f95de8818684106d56245148080ce5dbfec40a374afafd1d856dd60dc20f8,2019-01,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
44e98c0d101b3f5c4669e75eb49c12054bc1455d31dce0a0830747de97e5df93,2019-01,Bedfordshire Police,Bedfordshire Police,-0.347098,52.046657,On or near A600,E01017437,Central Bedfordshire 011A,Suspect charged
2078d74a556281e4c5431188f0dda6f0ac89b814c6bb1e15bc70cef506dc8458,2019-01,Bedfordshire Police,Bedfordshire Police,-0.446839,52.132956,On or near LONGHOLME WAY,E01017468,Bedford 012C,Investigation complete; no suspect identified
f5ef79ce17ec444e2260498a350457e8b8b6680bec2667f5e0b3551e1dbe2ac4,2019-01,Bedfordshire Police,Bedfordshire Police,-0.420317,51.877748,On or near STUART PLACE,E01015795,Luton 021F,Investigation complete; no suspect identified
5531ed1ffc4aefb65e22db29ad98bb58a49274c386d8b4e717b51d50e9e657aa,2019-01,Bedfordshire Police,Bedfordshire Police,-0.470498,52.134964,On or near A6,E01017466,Bedford 012A,Investigation complete; no suspect identified
8bbad98b1eca0dd66a6cc6fe136999867e4dc6b93f9f4091ca9b396790cfdcf4,2019-01,Bedfordshire Police,Bedfordshire Police,-0.431820,51.885356,On or near OAK ROAD,E01015725,Luton 017E,Offender fined
77bc89b7fd99c8954e304fd2e63326e269be06fc3cd19f417e92808494d4ce98,2019-01,Bedfordshire Police,Bedfordshire Police,-0.413002,51.888673,On or near ARDEN PLACE,E01015740,Luton 012A,Suspect charged
848427b587b138278c8460be0b1d0c2930ced317554b025ef588c0185fd8685e,2019-01,Bedfordshire Police,Bedfordshire Police,-0.431375,52.111064,On or near THE CRESCENT,E01017486,Bedford 019A,Unable to prosecute suspect
223ca53edc0dd468ada7a03349db2fbf7043e1cee4880fdf69cce1a9c08349af,2019-01,Bedfordshire Police,Bedfordshire Police,-0.471095,52.125630,On or near ST LEONARDS COURT,E01017474,Bedford 015C,Unable to prosecute suspect
e4149034d46c040ff195bc5de68f5b7dbefc2e110d1faaba30cd4db21b3f353c,2019-01,Bedfordshire Police,Bedfordshire Police,-0.445961,51.889904,On or near Sports/Recreation Area,E01015731,Luton 015C,Unable to prosecute suspect
de2ff6037ae56b6876bfd9be42da5ccb08aa5cb8872e9e478a80d3fd60fad274,2019-01,Bedfordshire Police,Bedfordshire Police,-0.465181,52.154046,On or near Parking Area,E01017457,Bedford 005E,Offender given a caution
1b7d6384c5550c0c20d7e252ad37a4233d8ae4f0ec33587f14b3a8e423adec3f,2019-01,Bedfordshire Police,Bedfordshire Police,-0.452389,51.900752,On or near BANBURY CLOSE,E01015750,Luton 011F,Action to be taken by another organisation
7c6606797ac5bac5827984bb2c0eae617f600d4b735da27bbfcc5580c43c3557,2019-01,Bedfordshire Police,Bedfordshire Police,-0.429359,52.137669,On or near BATH ABBEY,E01017526,Bedford 011C,Unable to prosecute suspect
9b4f038cda579a54d7be33c8a45271f416b4ad6154eae8363fae943db187d226,2019-01,Bedfordshire Police,Bedfordshire Police,-0.458641,52.162269,On or near BURE CLOSE,E01017454,Bedford 005B,Action to be taken by another organisation
18ea9b6822df377c80336a1a0190af872e68f9577a163b52bc36e1cebd14a90d,2019-01,Bedfordshire Police,Bedfordshire Police,-0.601876,52.192564,On or near BRIDGEND,E01017465,Bedford 002B,Unable to prosecute suspect
66ef95573299253d4409dfa5d296abad0da2a905f1bfd240661f799042c320ac,2019-01,Bedfordshire Police,Bedfordshire Police,-0.408258,51.889706,On or near RICHMOND COURT,E01015778,Luton 012E,Further investigation is not in the public interest
491b88ac61d69b106f8523162102566cda92f1fc86f4413ce7ff99666fa9541a,2019-01,Bedfordshire Police,Bedfordshire Police,-0.408258,51.889706,On or near RICHMOND COURT,E01015778,Luton 012E,Further investigation is not in the public interest
35282e17116933c277db3b2e9e6b213fb6962b805ad8d1cb65377b642a035291,2019-01,Bedfordshire Police,Bedfordshire Police,-0.464227,52.137589,On or near GADSBY STREET,E01017469,Bedford 012D,Unable to prosecute suspect
101fecd70c85f9e056b6ecd6526b90c504064ed0692f79d450e92a1898de2e13,2019-01,Bedfordshire Police,Bedfordshire Police,-0.223395,52.016785,On or near ROOK TREE CLOSE,E01017447,Central Bedfordshire 014B,Local resolution
667ed877039e30544257d1745def7cbb9e2b5f0b769e19b1e0a836a62177dbec,2019-01,Bedfordshire Police,Bedfordshire Police,-0.421286,51.877860,On or near ADELAIDE STREET,E01015795,Luton 021F,Unable to prosecute suspect
6abad723b7580baee57da29a67399ad783073bb72e2f0e3f18aafd9f00e22969,2019-01,Bedfordshire Police,Bedfordshire Police,-0.433430,51.874569,On or near NORTHDRIFT WAY,E01015737,Luton 020F,Investigation complete; no suspect identified
4816e7499fb6b2ee885d5875d875999df2bbb91c190d3cb594c06ae94a353d38,2019-01,Bedfordshire Police,Bedfordshire Police,-0.512911,51.876167,On or near THE CHEVERALLS,E01017626,Central Bedfordshire 031D,Unable to prosecute suspect
359bcd087faef095340e102a19d65d36489fe0c293a63d230aa8e5ac0589c242,2019-01,Bedfordshire Police,Bedfordshire Police,-0.548074,52.223752,On or near PINCHMILL CLOSE,E01017544,Bedford 001C,Investigation complete; no suspect identified
53dd3854ac4d597cc0c55e6753c662da44ca3a08356f2d05c87d0543146bb0d9,2019-01,Bedfordshire Police,Bedfordshire Police,-0.499649,52.008255,On or near THE THINNINGS,E01017406,Central Bedfordshire 016D,Unable to prosecute suspect
971e0fdb5fcfdc6002bcc94eb8ac87905e120dacdfc3d6dbcee6201241f691c9,2019-01,Bedfordshire Police,Bedfordshire Police,-0.450561,51.913316,On or near VERULAM GARDENS,E01015769,Luton 003A,Investigation complete; no suspect identified
5da496e6d40048e1c7f77e7310bc77b83338c2b4d7a9c0b9e9c4553b27ee051d,2019-01,Bedfordshire Police,Bedfordshire Police,-0.415846,51.883433,On or near Nightclub,E01015741,Luton 018B,Investigation complete; no suspect identified
c4279652baf8bca7856220432a697e29f3e28c97392ca998274fe13726401503,2019-01,Bedfordshire Police,Bedfordshire Police,-0.510327,51.878319,On or near INDEX DRIVE,E01017623,Central Bedfordshire 031A,Investigation complete; no suspect identified
