Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0288c922fa3d1def2e071ce68267399b156e3866c0a45d413a7579963a4867c9,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Court case unable to proceed
62f8177195d5b9482fdfbe9e121cdcc0ed9a44fb18caf59a3d7088c0aacb25f5,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Offender given conditional discharge
6680dc23d10ff454ecdad2a2b1b05a802052cd0b8dec503abb1d09e0c946e275,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.338981,52.544295,On or near PRIORY GARDENS,E01018127,Huntingdonshire 002A,Offender sent to prison
db307873c6648282b5ca0da9c03e0a4bfeae560678c55d21ed4ecb2978bac77b,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
aaa36b7ce7e81c835c80d018cdf565afea6bb6173fb5d16bc4221717410f559e,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.301605,52.538721,On or near BRUDENELL,E01015647,Peterborough 021F,Unable to prosecute suspect
3476f232c0ae40aac8e82c175dbbdcf5972cc9b3b895a60ac0512f157921b58e,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
f762459d1c188c3c9b3b707355568bd7b8a72a143de5d1f5fe6a813192ef2fdd,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
21456dcf7f751798832c5ea1a2c581e99869182611da8d64421f3a9056a9c6ac,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
4eb8b1cbcb9553be7d7d94481fa01b63e4a80faf738517bc32de4d75160fe9f9,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Local resolution
73a2dc2a5a73d25c3484e2ec237ffe98ab91157b0e61f7b4a4ad7a1c6bca625d,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
5587941f65d9ca2eb3e5dba1b5ad1b576c0468ad90e76d5d41292c2cdfb73a3e,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
7638fdf78e8af8afdebbce5c397a6acba6f892698d35a608d7954344b90a4740,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.040353,52.452901,On or near CLARE STREET,E01018105,Fenland 011C,Investigation complete; no suspect identified
d63bc89e19de882f6f07715b49d64b06e601e72d6ba4f5e6239da4922ec50142,2019-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
