Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
efb1953daf76f8a286acb9f784359ef6afd992b905a01ddbc67dc47c053bd7a3,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.887450,53.192240,On or near Parking Area,E01018326,Cheshire West and Chester 034A,Offender fined
10546d58e1547ec37c738df2ae35bf5a61b4933366febf28e36022d286b9ff75,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.876900,53.266379,On or near STANNEY MILL ROAD,E01018551,Cheshire West and Chester 011C,Offender given conditional discharge
8ab2dbc6c53a0358602feca40066291805cc29765ca2097ce8b0d72c08979e3e,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.767733,53.378352,On or near DUNSFORD,E01012419,Halton 004C,Unable to prosecute suspect
adfaf6949a09fcc760a60c6eb8c62e6743e1bb304975d72de86d95044a061dba,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.727084,53.367667,On or near SOUTH STREET,E01012367,Halton 007A,Unable to prosecute suspect
9d2801f7c85df01d92e0cdde4f4ed8b60455004e5b0d9ed728129c6209d19ce3,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.588446,53.403748,On or near ALDER LANE,E01012520,Warrington 011C,Suspect charged
0eed141b3e4ca8cfe2dbc542bf2babf03573b72d0803ca701c53695578fdea55,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.577832,53.408582,On or near PARK ROAD,E01012522,Warrington 008B,Investigation complete; no suspect identified
2f67eedc4d5781b3bf08dabf248cb1f1e95614b9d37018481648e0a60a158fcb,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.727273,53.295809,On or near Parking Area,E01018688,Cheshire West and Chester 002D,Investigation complete; no suspect identified
01273b8d9e47b6466155908fe0e81ad54eefe0e712db578cc77d9e14627a4a88,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.776464,53.375707,On or near AVON,E01012422,Halton 004E,Unable to prosecute suspect
2f0569ccff3a1d840ffd74942c74ab7dacecafadf4cc7c261c1e14e51997ed0d,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.570201,53.416097,On or near TEAL CLOSE,E01012533,Warrington 008C,Unable to prosecute suspect
c89df233e65b9ed25a1d22480f08484a18a5e2b9e546fad975b076e4a62e9abc,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.125627,53.346922,On or near QUEENSWAY,E01018663,Cheshire East 002C,Investigation complete; no suspect identified
54c63de82962762f8262234ab8f919ced20d905c7368903bc4ca01229aa91dfa,2019-01,Cheshire Constabulary,Cheshire Constabulary,-2.528568,53.065883,On or near DORFOLD DRIVE,E01033373,Cheshire East 050F,Unable to prosecute suspect
