Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
250813fcdaef6a67747d78024f31af41955fca8daaa6a883e67cab2ba3ede9ea,2019-01,City of London Police,City of London Police,-0.087606,51.515653,On or near THROGMORTON AVENUE,E01032739,City of London 001F,Offender sent to prison
9482ba604bc71c26d9f5e9bfc3bf30723191ae9eb64821869687a63a87107f39,2019-01,City of London Police,City of London Police,,,No location,,,Suspect charged
9482ba604bc71c26d9f5e9bfc3bf30723191ae9eb64821869687a63a87107f39,2019-01,City of London Police,City of London Police,,,No location,,,Suspect charged
b76af8d607a9eff0010ac8806d2dab6ad1109e89227a83f5e88b93a9c62fbbe6,2019-01,City of London Police,City of London Police,,,No location,,,Local resolution
0dc079537537a6eb37e2c8cc0166f48b5d18352b8be8517121d271f8cc2fb29e,2019-01,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
3411f76bdf1d804a66e3486d22920a1f1294c3706dd323f3a4c7582017792ad3,2019-01,City of London Police,City of London Police,,,No location,,,Local resolution
cb4a739aaec2ec1042889934c786440f5ee0bc0d48048c7be9c40a689065fba9,2019-01,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
6b06cdc53770b4846f9898333581d60286cdc512b3cd4fc3d324fbfa6435b871,2019-01,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
bfe1e6473c0e91da787a45b52a15ce4f715e41dd8664e4ddb35c110ac4e09ccf,2019-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
cd563424ad16af487a50dc8fd65c072e1528b3be3e178e675098daa85b270aa0,2019-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
58b64b06fea21a627e747469e925b43d8ba6d150a5dc05e331529788f042b827,2019-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
18f54e768bbb52e03d7a9b0186fca1f61ded359692bedf97a44c16e5e6d39ed2,2019-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5e7aaa6cecb66ae5f6dca5863ecf9935b839c361c4f5a8f3e99ba21622865b93,2019-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
