Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5cc675572c6c7fa72cd23364ef20e5a48d96e0926e8e49111ca85017cf1cfc4d,2019-01,Cleveland Police,Cleveland Police,-1.143087,54.560381,On or near Parking Area,E01012173,Redcar and Cleveland 022E,Defendant found not guilty
82a0937075580d816832097ce0725b0f25bb2a1b1570fd94e9ddc44bf30803e5,2019-01,Cleveland Police,Cleveland Police,-1.214044,54.546322,On or near OVAL VIEW,E01012064,Middlesbrough 020C,Unable to prosecute suspect
c6c02138d745bd7338f2f334446bd018457292cc0f6d490437d36cb509a9c102,2019-01,Cleveland Police,Cleveland Police,-1.229975,54.678767,On or near ROSEBANK,E01011951,Hartlepool 007A,Unable to prosecute suspect
816ae730e8874ea1fe22704f68025d101dcbe8856aeeb8aa3ff3a712c87cbc2d,2019-01,Cleveland Police,Cleveland Police,-0.973922,54.583205,On or near STATION SQUARE,E01012161,Redcar and Cleveland 007D,Suspect charged
7c6f81762c3409ee3404d239eaaa0d52768375c755fe4d1ec7e9cfd5978bb577,2019-01,Cleveland Police,Cleveland Police,-1.352084,54.497873,On or near THE SLAYDE,E01012302,Stockton-on-Tees 024F,Unable to prosecute suspect
38ea33f259a7a53979dfffe819c9b570abc46d953aa1c717470689bdbfd70f9f,2019-01,Cleveland Police,Cleveland Police,-1.303020,54.544746,On or near WINDSOR ROAD,E01012291,Stockton-on-Tees 019B,Unable to prosecute suspect
f4cd1f06dd6a7b9018610e8a06cf5512709f595c870ee3adac5f871be5796701,2019-01,Cleveland Police,Cleveland Police,-1.254601,54.556006,On or near OXFORD ROAD,E01012054,Middlesbrough 009B,Unable to prosecute suspect
d01b5a7c81300a57e5176643d41139f78a29778d8cead2682c17d10d21bce2c3,2019-01,Cleveland Police,Cleveland Police,-1.239138,54.570154,On or near Parking Area,E01012039,Middlesbrough 003D,Suspect charged
bc21e29a9bce5c080631935b90b5a5093580e5328a9ee950dc2a94a3f23ea0a7,2019-01,Cleveland Police,Cleveland Police,-1.190213,54.549122,On or near LEALHOLM CRESCENT,E01012017,Middlesbrough 007C,Unable to prosecute suspect
a5a04b05c8d74511fbfa77463eca8aaa542854e9f577e0d58b52b98eb35927a0,2019-01,Cleveland Police,Cleveland Police,-1.221876,54.674896,On or near CHARTERHOUSE STREET,E01011950,Hartlepool 008A,Investigation complete; no suspect identified
f2c20a0752977970ae93490082d09adbc834dd22f82715fb649b21f6bb194ca4,2019-01,Cleveland Police,Cleveland Police,-1.237180,54.685741,On or near THE PARADE,E01011983,Hartlepool 006C,Suspect charged
6f62b8ab7484b736450865225ee2da0f56ac58f570232382fbbbb6132ed0c2fb,2019-01,Cleveland Police,Cleveland Police,-1.237751,54.572374,On or near KING EDWARD'S ROAD,E01012068,Middlesbrough 001A,Unable to prosecute suspect
b9baa513630088a0fc2a74d2ca55c3ad5313b83860a148bcb44e887fa1081d55,2019-01,Cleveland Police,Cleveland Police,-1.223831,54.560108,On or near EAST VIEW TERRACE,E01012027,Middlesbrough 006B,Unable to prosecute suspect
1210d612ad9951a4f0b19aa17a4b3f396e61bec3be50c1b75ee9afa066a5fae1,2019-01,Cleveland Police,Cleveland Police,-1.213290,54.684241,On or near Middleton Grange Shopping Centre,E01011999,Hartlepool 007D,Suspect charged
371ba4a101e9a0aaca9e3d5fd0d7b03ffc7115df7647bc1f50162f197948ab1f,2019-01,Cleveland Police,Cleveland Police,-1.061847,54.617908,On or near KING STREET,E01012102,Redcar and Cleveland 001C,Unable to prosecute suspect
3ed2f94e7bf827f1b87dfcc220ff9fa1d403150eadfa22844b7c5ee6ef9db1e2,2019-01,Cleveland Police,Cleveland Police,-1.227415,54.556168,On or near ALNWICK COURT,E01033469,Middlesbrough 006E,Unable to prosecute suspect
cef9762e04bfa7fe79489a116a5ba1200a73878abe4790fcb6025f38b5a65a03,2019-01,Cleveland Police,Cleveland Police,-1.187016,54.566868,On or near HANSON GROVE,E01012060,Middlesbrough 002C,Unable to prosecute suspect
eb082c0690c92f495a18cedf40cef7d2ceaea8dd237dcb89e204ec2627a26cdb,2019-01,Cleveland Police,Cleveland Police,-1.201008,54.560760,On or near GRIBDALE ROAD,E01012075,Middlesbrough 004B,Suspect charged
d5fb2eee29d98ae688a4516a3c5d6fda3d41c664ee28eb938a92a448a5da908a,2019-01,Cleveland Police,Cleveland Police,-1.205292,54.687127,On or near Parking Area,E01012000,Hartlepool 007E,Suspect charged
d5fb2eee29d98ae688a4516a3c5d6fda3d41c664ee28eb938a92a448a5da908a,2019-01,Cleveland Police,Cleveland Police,-1.205292,54.687127,On or near Parking Area,E01012000,Hartlepool 007E,Suspect charged
5df803379314e99b4bab448742460a20a4b11ff857a2f02cb75d79033b7efc63,2019-01,Cleveland Police,Cleveland Police,-1.169041,54.557084,On or near SCOTT ROAD,E01012146,Redcar and Cleveland 022A,Unable to prosecute suspect
922669aba915e5adc5160c18badab1ac9eb95454c98de20af8fce2232c78ab7a,2019-01,Cleveland Police,Cleveland Police,-1.236892,54.580304,On or near Middlesbrough Police HQ,E01033468,Middlesbrough 001G,Suspect charged
