Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1d9eac42a774362f8a06aecf502fa3bbd42c0176004119e3060c1eb0393648f8,2019-01,Cumbria Constabulary,Cumbria Constabulary,-3.540225,54.645408,On or near HALL BROW,E01019116,Allerdale 008A,Suspect charged
77ed309f08050ca52ceaacce17b5cf757adab3237133f2c06453ca002440ea23,2019-01,Cumbria Constabulary,Cumbria Constabulary,,,No location,,,Offender given a caution
b7ef6d61da31c01ffcc21c309f789d3efc41655a76a4e5546fd354629ae48cb8,2019-01,Cumbria Constabulary,Cumbria Constabulary,,,No location,,,Unable to prosecute suspect
fa97c06be89c7c853bf44dc95d2e23d739eefdac2ce9c8c5c6b8c6367e0f8ee9,2019-01,Cumbria Constabulary,Cumbria Constabulary,-2.943994,54.887898,On or near NELSON STREET,E01019215,Carlisle 008C,Investigation complete; no suspect identified
6bb27de128c0b152bdf162c5f3d94c33204c02ebe9dbd42108c2fe3685aef97e,2019-01,Cumbria Constabulary,Cumbria Constabulary,-2.908683,54.891339,On or near CURLEW WALK,E01019196,Carlisle 004A,Suspect charged
13b695675220b22a79da2e35b01ce95bceab473e1b8eb61be37aaba52085e59a,2019-01,Cumbria Constabulary,Cumbria Constabulary,,,No location,,,Suspect charged
e430eca4617f377eb4b1031a9854b9d6205bbac28eefa6ed92f3be8eea3e6c48,2019-01,Cumbria Constabulary,Cumbria Constabulary,-2.748902,54.663735,On or near FRIARGATE,E01019327,Eden 003A,Suspect charged
10baae04bb1bb01290ee7ae51ad90f1ad5f666ddf9cc815a9e9ab9f21750faaf,2019-01,Cumbria Constabulary,Cumbria Constabulary,,,No location,,,Suspect charged
da0d89c3523ce0a482b98f392ebaf712cf4d9a0f04ee01d44283b591dd99f647,2019-01,Cumbria Constabulary,Cumbria Constabulary,,,No location,,,Suspect charged
892e71ca180fa47a9a16e1ed87684af037ba8e8665df23f5b9a9b5aad2178f81,2019-01,Cumbria Constabulary,Cumbria Constabulary,-2.898204,54.880022,On or near EDGEHILL ROAD,E01019198,Carlisle 011B,Unable to prosecute suspect
b6583fdcfe99463f5afb9885b35e4ba34317f697f6160b3a5d63a71973575363,2019-01,Cumbria Constabulary,Cumbria Constabulary,,,No location,,,Action to be taken by another organisation
42e4cf9602cd7addb91e62435c62f3d0fd80a14640793a6d829a6dfaebe11535,2019-01,Cumbria Constabulary,Cumbria Constabulary,-3.365030,54.655725,On or near DALE CLOSE,E01019078,Allerdale 007A,Unable to prosecute suspect
