Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4009c330fe89d58d5baad40745d49da1c9c2e14db3556dc72cf51116f3b74b90,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.457804,52.914444,On or near PINNACLE WAY,E01033172,Derby 024F,Suspect charged
b41993201ec527a66b20fa5090cc40ba80480456ca4e56563e99c7547d53b16c,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.290728,52.959807,On or near ILKESTON ROAD,E01019658,Erewash 006A,Unable to prosecute suspect
04f600993a7a03de06af9071cd10846a69c5bc43693f2dd820ac66f3cd79083c,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.434804,52.863682,On or near WALNUT CLOSE,E01013515,Derby 031B,Investigation complete; no suspect identified
3542ad336055d9d7e64abbae197145b502e47a3246d5671af3abc3b75f89cbba,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.934343,53.252599,On or near DUKE STREET,E01019714,High Peak 012A,Unable to prosecute suspect
e4c23aaf604e47f3d236a3d7181408aa4d74f30d0fb5fbdf3f6be154a81a2862,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.361981,53.018147,On or near LOSCOE ROAD,E01019433,Amber Valley 012B,Formal action is not in the public interest
40d90633ad473e41a15648cce5e410aceec7e1aa379dbd0c31ff4a752c16f19f,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.647911,53.272070,On or near THE AVENUE,E01019604,Derbyshire Dales 002B,Investigation complete; no suspect identified
17ba28dc321ce595adc60c460f19c4d1e6a3cc6a403c36a9d1801c9275976a56,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.323163,53.092453,On or near QUEEN STREET,E01019501,Bolsover 010C,Unable to prosecute suspect
c8285607700b15f002edf59555ec26c11e3caf2e1b2cf5420abf5400523692f5,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.941132,53.449768,On or near CHURCH CLOSE,E01019750,High Peak 003D,Suspect charged
b2b5811f74e5ef9b255e5fde797d46f4ff3346ab257e73afd2bf616a948e173c,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.347756,53.140916,On or near PENNINE CLOSE,E01019521,Bolsover 008D,Investigation complete; no suspect identified
c96e324f6edb7179640fc5ca07d90f56f50600b165e90d800abca5abe55ec533,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.309052,52.971142,On or near MARKET PLACE,E01019672,Erewash 003E,Investigation complete; no suspect identified
b6a6800842081b6ccbd035c710c367c9d19f900fd1d1155afcca87b0e10b6a38,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.551312,52.904550,On or near ALVERTON CLOSE,E01013563,Derby 019E,Unable to prosecute suspect
64159a68ec01240ac631b46712c7ad697f841bd0e3d6eb96c1768c11ec05a071,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.483607,52.919306,On or near ALMA STREET,E01013456,Derby 013C,Defendant found not guilty
4488fc8382688102bf881f1e64557951b10afa7f3bf1b3ad098a86eb3452d279,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.470743,52.919240,On or near TRAFFIC STREET,E01033166,Derby 018F,Offender sent to prison
eeeb991129e072038c9cd91e43059581d0df1fd376d814a3d247b58ce537b625,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.673311,53.213221,On or near Supermarket,E01019600,Derbyshire Dales 002A,Suspect charged
f528490b6799a89e7c23e62f57766ed8b5075ec2efbebd3b4dbd6ac2c9dee26b,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.718304,53.014948,On or near OKEOVER AVENUE,E01019594,Derbyshire Dales 009A,Suspect charged
8bf2adb938b3a8a0372c3ac6bc05b4f166445880c6f1df91dbf849293f8ab28b,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.718304,53.014948,On or near OKEOVER AVENUE,E01019594,Derbyshire Dales 009A,Suspect charged
bc25e0254cd6b460f721f0f8e9133712ae5734fe37fdf646ede4744b611b697e,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.718304,53.014948,On or near OKEOVER AVENUE,E01019594,Derbyshire Dales 009A,Suspect charged
8d1875ec69b65476dfbbe224e80fb58b4d00c5210d24aed9ae50cd45d21be3da,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.352875,53.189269,On or near ST ALBANS CLOSE,E01019799,North East Derbyshire 009C,Local resolution
b1a91a376bdb1c3ed1812f38019bd01cc18f7bd10e41f00146c6ffb2e1feb63b,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.352875,53.189269,On or near ST ALBANS CLOSE,E01019799,North East Derbyshire 009C,Local resolution
845d833767e49b880b82f0e75b1e0cbf5055b423077452f83c382acb25361316,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.384129,53.182639,On or near Petrol Station,E01019808,North East Derbyshire 009E,Suspect charged
11a71b0608c39e45158c35b1dddd91460b1c497b9c8110e39bc40f73fcd461e3,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.481294,53.023275,On or near KING STREET,E01019407,Amber Valley 010A,Suspect charged
f74588acacce40fed2153e946b751a80837843053c4829c3548b9d42a5baca43,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.481294,53.023275,On or near KING STREET,E01019407,Amber Valley 010A,Suspect charged
270c144f29b8dde77fea518d1b806102745d59ec6526a1c9e539633606814085,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.310624,52.982766,On or near BARBER CLOSE,E01019645,Erewash 016D,Suspect charged
123104f36bae2bb58ec07829f4e48be465f167e594de57a8045d634bfc69b37e,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.307582,52.977372,On or near Supermarket,E01019662,Erewash 003D,Suspect charged
b81f231db7b95a5fa9892d37cfcaa08fcde4ecc4cfc5c5098b2820cc5512401b,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.306709,52.977988,On or near RUTLAND STREET,E01019662,Erewash 003D,Suspect charged
dc30d53f97d8ed7d73a61bf658f12b997b28bbaaab2be0ea6a5b40e277dbc53c,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.324338,52.960101,On or near OLIVER ROAD,E01019668,Erewash 007C,Suspect charged
bc60c5607875e7cd11bcbcd8050dbd44223b0934d35a6e250abe8820d5e7a62e,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.486521,52.904270,On or near ASHE PLACE,E01013568,Derby 020C,Suspect charged
23a4d1a65e430e29fb45860c15f4592499bb344eebf1836fc860344a1594b527,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.361627,53.012832,On or near DERBY ROAD,E01019441,Amber Valley 017B,Offender given a caution
8a8b339cf27b115312b3003dd6a66317435bc3f7067f75061c8564710472fcb7,2019-01,Derbyshire Constabulary,Derbyshire Constabulary,-1.424282,52.922449,On or near KRAFT GARDENS,E01013511,Derby 012E,Suspect charged
