Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8fe95295f39dc6502400deb72633c8f7d1203453717cee9f34446eae3a208558,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Defendant sent to Crown Court
f5515930c892e2644ed1592f4a8c587e9673fd867867020d4b8c7dacabafc1b7,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given suspended prison sentence
1bc26009e643e30f23c7e34f646a57e81fe6e6c880a320f6adc35b5722ef9a2b,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender fined
c6832561fe9a922839975f1add08033f6cd23055e38fadcc0adad7ed8380981e,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender fined
cee67b80b65694cb7a612d4c52aeb8df5ac1bcf06a39bec1f1a756b62c63b309,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender sent to prison
31f2d911705153e20b573e51039343cb8152f818c8be8e0d44afc12082ca91f0,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Defendant found not guilty
39af9d6ddfb62e5397e530b40d6625941be8b78e517f61346371434b282f9e89,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given suspended prison sentence
c0f5873d86ee13dbbbf1c2d47c917d29bd37f6b5a81fa79a9f7323b0dae5fb1f,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender otherwise dealt with
d05a68c20d7aef603b0c415241ee3f0d4fe4b4f6e2cdad7d405c5f0fc6f870b9,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender fined
8db0e14835f5932093273823d0ad63667edb4437276a29c80a35576bd4c00511,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given community sentence
a125cec5bfc0e1bcd6a7c944f1f22b71119b65e0f622cad307bd60566135290e,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender fined
fcad764c520f7820dc2f79b464e218b972af92483ca04ec7761dfd5e7cf591a0,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given community sentence
ddfafe900dd8bc587392fe0c589ecb2e8a2f8987ef377497784db31b4a34bc05,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Court case unable to proceed
f0e628ad01185c44d466d604fdd23a1f79422008379f433a6f5f0c7f7013a283,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender otherwise dealt with
3af47cf35bb2852cb66dc1f6c506b64bb8791bd5d4c9c35472b941d82db14fbb,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Defendant sent to Crown Court
968d7c211ccca6d7e5fdbe1e398869bddc5265ebce573e3a744a15e5519cddd0,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Defendant found not guilty
67ac25f2b36e75f0b7862f7584548529b533e3453dfebac53511bd9c9c44c7c2,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender sent to prison
68339fa86688f06d527016bbaffbe8bb8665f0eb481ab9d1cbef6afe8bd8adc0,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender sent to prison
2ed64805b45540b0865430b8c934eef2c2a5fc32631b5da45f124e1c306f9238,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender sent to prison
56fb76dde3babb7442ab8d8d29f997752816e91c974896fa44f2c90ab5a82d86,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given suspended prison sentence
a62f353effb33b95b194d427e170edf61b76e4c7d5ebee547e6afe94fb0b9001,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Court case unable to proceed
116cf25897f288857d0856b634ed7e0c1a7f62ebeaf7d966f076f3c7290baee4,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Court case unable to proceed
a9f8ec912730bc8122f51735c1b13e172b30f12874f83b5b0b7706138685b3e2,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender fined
0bc4c0f9ac241319fc57aea443690f14ce8b58e21f028d7b9fbfeefa3f715ee2,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
6010adde6fcd0491c856e4cf6ff038490e1d3f92e8e46dcdb89c30e0a0a029db,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a drugs possession warning
55f927f99da792bbcced1016a5d77eb08a3e611ea1f08186297c57ac33e670fe,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
1c6653095125a609bad4080c5faf3554690e4a15b1de5386d52679eb83aa602d,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
ba5a98277066c0357454969f7ed01c4d20ff322f7855c55ec35ee83b2a88583e,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
cfc091e3dd4a4dcb441aff019dfb600caf1cef3101797f5601d0ed983e8a59e6,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
21710418292416abb34edb9b81654205f866bb4a36bf6ed55767a379abcaea28,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
48e9f231a48051f67af6d267574cd59ed3520d9a8f8ea17a92d26e7bd7dc17c0,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
a6976876f1eeb4892e64675f526ba5b2df8b799ef5ae5bc0a3cf67267aa312cd,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.567765,50.435209,On or near DARTMOUTH ROAD,E01015232,Torbay 014C,Unable to prosecute suspect
b4c4a460d2cd9ac0c9d6727e36d71ca47972d1351ca6029aef3ba40f46f52f94,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
b563acec5a9d3767e47a6b050c722fdbb952a5e444a84f4e9e2111b458d0294e,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given penalty notice
6edf4631e2b2b7a31cd7438f9a3b50fb4ff8e9be83ff3759a81019b42e71c2d3,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
33f92685a1267885a3ba1ad412421d842678f9fa43d5a720a51f1bf491c54df9,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
a951959da67583bcc18db3f617d8132e0a6e7ec80bbaf4185f7b4da47a6f5492,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
fab8532fa739d4ac68f1dd10a2f70d7cf44add452ed49ed43f403c5ff70cf4c2,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.150334,50.369637,On or near Nightclub,E01015155,Plymouth 029C,Unable to prosecute suspect
1924ddb83d13d79df1676489a183fb4216ec44ddc064fcb96b0662e0f9796b3e,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a drugs possession warning
da09272a174fba936fea3d23d3bdfc146f2ce5275f7b72725107ffccbda4a77a,2019-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
