Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e74cc366285e6bc0fc55000fc5c98579d817210b1c06bf0171006021155036d6,2019-01,Dorset Police,Dorset Police,,,No location,,,Offender given community sentence
e19926bbfc0e297bc35e6b9f89d7fa30e7f86c70f46ff197b1c61a3f2c924b17,2019-01,Dorset Police,Dorset Police,,,No location,,,Court case unable to proceed
d26b2886ba024f07fade98fa43e8bac2458c1a2a7ecd5c2ad9460d830a282ce7,2019-01,Dorset Police,Dorset Police,,,No location,,,Offender given conditional discharge
a4da1ca2533467e5379cce7e0877254126be9915deba67137047f3cb7251984c,2019-01,Dorset Police,Dorset Police,-2.478821,50.594945,On or near HIGH STREET,E01020588,Weymouth and Portland 007C,Offender given community sentence
0cce5af3a9385de8d7ea8eba5077eff9cb344f30dd91607041efbf7fae93d517,2019-01,Dorset Police,Dorset Police,,,No location,,,Defendant found not guilty
287e78b56ffd011110a9851da1e8215d6a747666cb6a195765174a8a78cdaace,2019-01,Dorset Police,Dorset Police,,,No location,,,Offender given conditional discharge
0f2e73777564e9fcbf4021cd7667c55e109225822b46ebe3a6e49c08e12d0031,2019-01,Dorset Police,Dorset Police,-1.830604,50.922509,On or near SANDLEHEATH ROAD,E01020389,East Dorset 001C,Suspect charged
0f423d33d9d76da9545ee4b216ab482869b1815e6ade9196aa676acc3d4cf43d,2019-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
1926e90299955df59028389cc4ee3757426aa63cc0605461ec068f2c6b4b9771,2019-01,Dorset Police,Dorset Police,-2.308898,51.041586,On or near STOCK LANE,E01020440,North Dorset 002A,Suspect charged
fc8ec1e52878e9766c0f92b03498cf93e41e81b49a560414ccda814712df35a7,2019-01,Dorset Police,Dorset Police,-1.811490,50.733511,On or near SHELTON ROAD,E01015361,Bournemouth 014C,Suspect charged
bf508eb549a9fd566f8a456b5935c6f3dba8a17f32bb10403ae379db2bbbbf1b,2019-01,Dorset Police,Dorset Police,-1.982539,50.718095,On or near Parking Area,E01032659,Poole 015F,Suspect charged
f53bfba9656f3ef212a4ac6623068563794cf68aa04ba35a552c9bd4eb740879,2019-01,Dorset Police,Dorset Police,-1.779269,50.736368,On or near Nightclub,E01020368,Christchurch 006E,Suspect charged
5f6597cde110a35b623292373f5d09c6feee42a84832b9dffdcc53c2b77d40c4,2019-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
8f7f250768f47da7fa911e04172ea8fae1eb5f279eae6dcdcbdaf14d65e08d8f,2019-01,Dorset Police,Dorset Police,-2.478094,50.613833,On or near BEDFORD ROAD,E01020575,Weymouth and Portland 003B,Offender given a caution
7b13d552de52d0a7736f5e82da051990f49b4a1271970d5593ef89bd92c70d81,2019-01,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
b6a7e630828293df556bc31cb2825d991051609b9b77c37827249b22b62f54ef,2019-01,Dorset Police,Dorset Police,,,No location,,,Local resolution
3ad8c4a9285a5f4d3935ff8384cbbf7c7381807892c2f59f6f1a37d04ca042aa,2019-01,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
