Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a803bdf5cc424cab31e95400202fabf69e436880a08c64cecbccf38941a7d46e,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.305341,51.855989,On or near THE MOUNT,W01000641,Carmarthenshire 008A,Unable to prosecute suspect
04932e9476c5bc7d0bb9938316075142ee1af86da0ec4eb2055be336b95c869e,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
8fdd14fd2894a8ef177ab2d552f19e5917484996616be8419aad72bf6cac6702,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
dacfff080a3b35a9523b139f767dc1e8e36d9a5bc9579e4322166d6646dcd3b0,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-5.034158,51.713376,On or near ROBERT STREET,W01000587,Pembrokeshire 010A,Investigation complete; no suspect identified
85cf11770c5f0bb64bd6591f20bb2976f0adc221a795d5cc3d33733919a804a7,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
1b069a31f5365fd46ccb0c67b6b4e1d90f74f2fd192aa28463b9116db286479f,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.466774,52.040491,On or near BRIDGE STREET,W01000531,Ceredigion 010C,Unable to prosecute suspect
d7ea60211518ece0b4911724cf4019ea024f04372b11315a773ddf1f46d170ca,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
aaf6b6afae9ae386c34c4417a744b9966bf176018acd5d05a690de41e77b76a5,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
aa64efffad81fd7c0fd5404fa7fdc02a3c287521104c12ce8b203d6200b0ff03,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
4188fd7a54ba0f4710005cac55d749ef39715645cd3e40bf5e4c68a3933e9d05,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.743423,51.799169,On or near BACK LANE,W01000595,Pembrokeshire 007C,Investigation complete; no suspect identified
743b6895fde1c62d3d1609db0ef4e5df6b62d24d890d1a8bda69b3c045c05889,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
196f864d6aac143c294941d60bf84392f4215a7f1da60060a480a17a9144c874,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
aa1f46199ad424e99d9bf788d664e091c4dc6888dc8d2c5e69fa29a7f5f6e498,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Suspect charged
515c8d89b40084fc483c9b83b19c60d1fbbcbb65dfe5f216fd9a1c5658ac1d89,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
a3b3d6d0c374a709a3a15b711401bcb13c49f8ed9e2105b0c33da8b1bc144529,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.149065,51.684818,On or near HAM STREET,W01000628,Carmarthenshire 024A,Unable to prosecute suspect
fa555ce5b2d576f6a77bfec168a41509110d4e7954524c71456cc88cf441d4e1,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.165359,51.680966,On or near Police Station,W01000654,Carmarthenshire 023B,Unable to prosecute suspect
303993f85b06ed299980ef7687d4567c31601dec9e0800b38f093e75b481e0b2,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.157437,51.671022,On or near NEW DOCK ROAD,W01000659,Carmarthenshire 026A,Unable to prosecute suspect
04061e665afbddd6849f0626461b8906990e94531b05852253da4ef788fda161,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.032793,52.441810,On or near BRYNCASTELL,W01000548,Ceredigion 001D,Investigation complete; no suspect identified
da0e9f3f1b3ba9b0366702452134af83f39327c574ddfb316ed01d09911fa492,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.098593,52.107082,On or near LLANWNEN ROAD,W01000528,Ceredigion 008B,Investigation complete; no suspect identified
a6e1fbf902bc64c096be2a935400d26ff08df471dae1988c6a786448bb0dff25,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-3.125193,52.073354,On or near OXFORD ROAD,W01000446,Powys 015D,Unable to prosecute suspect
c7dfc4c7646a5fd83fedff1f0311e639ad7e51ecc6aaea732bd3857af20cdbfc,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-3.391861,51.947252,On or near WHEAT STREET,W01000492,Powys 017D,Unable to prosecute suspect
151227653809d6d01863823e4a59d79068ab65f25bc9d7458b70527a6e49a320,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.908896,51.665866,On or near GROVE WAY,W01000609,Pembrokeshire 014D,Unable to prosecute suspect
e4ec0d71c02e146fdf72f575bf560fef19481ca97628e6085f809c767b29855a,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-3.232662,51.865201,On or near DUFFRYN ROAD,W01000465,Powys 018E,Investigation complete; no suspect identified
62c55abae2c001b102ffd47e7c44372cef6d3dca4964b6035f216557569b1e3d,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.122066,51.681343,On or near HEOL GWALIA,W01000708,Carmarthenshire 025E,Unable to prosecute suspect
742ee97bbbb3addc4cc730691b15cf74a3321fcea2abb7bfbf42191f27adc8d6,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.147305,51.693474,On or near MAESTREF,W01000704,Carmarthenshire 022B,Unable to prosecute suspect
d3c10f7403b16db1a109a9f591586f042556e876c42480e79e7bc5fc5fad1f77,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-3.139974,52.768178,On or near CROSS LANE,W01000470,Powys 001D,Unable to prosecute suspect
5a4cbc94d23d0df3a1d3970d738c7d71e2fd7809b8cf698e53e067bd54964562,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-3.380321,52.247928,On or near LLETHYR BRYN,W01000455,Powys 013B,Unable to prosecute suspect
db4461ac80bc38ca11d59415a3199a0daf7b6efea00ad192c9b57caff01daac2,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.151288,51.676774,On or near Y BWTHYN,W01000631,Carmarthenshire 024D,Unable to prosecute suspect
7c1fe52034e8f72c0b0911d131a37586d48ed4623f1cfa56eabaf5c70ec6e7b0,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.982045,51.996694,On or near VERGAM TERRACE,W01000565,Pembrokeshire 002B,Unable to prosecute suspect
e2f4915ec04d66bee7e004f2df1c57653779ec5dd4c09135e72e11a6d54acdd1,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.165359,51.680966,On or near Police Station,W01000654,Carmarthenshire 023B,Further investigation is not in the public interest
2c12b7554ba49bbf4b255fb4067627dc3f5d6ff819b8c558b8242543e5e877a0,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.699857,51.671293,On or near ST GEORGE'S STREET,W01000620,Pembrokeshire 016C,Unable to prosecute suspect
1610908214e000b006881fec48fc8fc5df2aaddfc66cbdae3b3bfcd2b4739865,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-5.038337,51.714158,On or near DARTMOUTH STREET,W01000594,Pembrokeshire 012E,Unable to prosecute suspect
0958da9a4e1d9b58d2e1acbfcd6bd14c0537dde4b72eef01a59cdee581b15d51,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.010845,51.813555,On or near BLAENAU ROAD,W01000680,Carmarthenshire 011A,Unable to prosecute suspect
c7d063e5201ec5b41f9dfad8db522b18609b794d2936e639bc9eae6c2d5bfa6a,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.217808,51.839616,On or near Petrol Station,W01000694,Carmarthenshire 008D,Unable to prosecute suspect
92d0073782697eaa6e307609e0ec21c6afefec39e5cfa4685f8828b4eaa23bf8,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.972706,51.787394,On or near ROSE AVENUE,W01000586,Pembrokeshire 006C,Unable to prosecute suspect
54935892945805f88973982705ff3f49aeb3b19a05fa2b01f15be75693073206,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.080923,52.414978,On or near STRYD Y BRAGDY,W01000513,Ceredigion 002B,Unable to prosecute suspect
b1899cceb66f2f9906bf2294c993e71bc40d9075e1eac8e1b31f5e4d1d1609ec,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.175653,51.781529,On or near HEOL Y FELIN,W01000717,Carmarthenshire 016E,Investigation complete; no suspect identified
69cf0919ef86ce2c7c29f85ca2bc5f7ddb97b41b257451842d6f2545793b376a,2019-01,Dyfed-Powys Police,Dyfed-Powys Police,-4.948076,51.689001,On or near TREGENNIS HILL,W01000603,Pembrokeshire 013D,Unable to prosecute suspect
