Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7a6423a75b499b69c81f2df25dc20ce41ecdfc27bfba9bf8fb5ea9e463902cd8,2019-01,Essex Police,Essex Police,0.364959,51.865355,On or near OLIVESWOOD ROAD,E01022068,Uttlesford 007C,Investigation complete; no suspect identified
74e2a294df4c144c01ff32f8f059280209f49004010bad9857532c38a1a63bef,2019-01,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
b3015cdf2574362769290f3baebe2ae944a42eb1eb757104346a4c7ad622d7ff,2019-01,Essex Police,Essex Police,0.168780,51.804633,On or near BACK LANE,E01021795,Epping Forest 001B,Investigation complete; no suspect identified
34bd3ba2b270c85c1d9e2f9d3347b0aaf628547d725ea74108f8540c039b2673,2019-01,Essex Police,Essex Police,1.268630,51.846788,On or near AGAR ROAD,E01022056,Tendring 006E,Investigation complete; no suspect identified
59f9c8ab7ce3662dc6d994cac1e76da60719db8db055a29d3d2fee00527610e1,2019-01,Essex Police,Essex Police,0.546974,51.602550,On or near FULMAR WAY,E01021335,Basildon 007A,Investigation complete; no suspect identified
713d5e56f1edc3d13d49c44d7c0721041c348a9165ce097c9941119e97c017ef,2019-01,Essex Police,Essex Police,0.450954,51.728241,On or near DELAMERE ROAD,E01021631,Chelmsford 009E,Unable to prosecute suspect
23b121899296a3d2c0c61a81be688948c370b4d00102c1380432f5bca4e37f11,2019-01,Essex Police,Essex Police,1.082237,51.903638,On or near A120,E01022019,Tendring 003E,Offender given a drugs possession warning
8d92cd2e30813fef1cb134a63531b08ca11c7d15d546a06724d02ac0b650ecef,2019-01,Essex Police,Essex Police,0.888305,51.882741,On or near ERRINGTON ROAD,E01021652,Colchester 013B,Unable to prosecute suspect
25ba307036116f090cb591ea2f1f8f1c1160ad9b485d4f3bebe747a18f66c4dd,2019-01,Essex Police,Essex Police,,,No location,,,Local resolution
0a1b9d0481e98f99016e41bafe52368eaf2248424a7b159a87db0d78bad1e127,2019-01,Essex Police,Essex Police,0.588977,51.524944,On or near VAULX ROAD,E01021487,Castle Point 008A,Investigation complete; no suspect identified
5f0cb3342593ee3c4afa12665f831f9a5e55740882fc82391cd49fb2ae79ba47,2019-01,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
e4ee943bd5da58a6196ff353b27a4892f9e07a465ece888ddd11b15f404c9fae,2019-01,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
46628134970542802904b07cd124bbac9b888b3a9fbab1ca93936db7eaaeed2c,2019-01,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
d116b3b552684677ec8addbca52f0f40bb088138475728fa7b72e5c586cddd35,2019-01,Essex Police,Essex Police,,,No location,,,Suspect charged
7b3deed04c71c54c7a48a72ebcc5324815c733c74d731ae761f03b736d18e133,2019-01,Essex Police,Essex Police,,,No location,,,Suspect charged
b98b628056e80443da7ec3c56f78b4806a8a6387964b3b8e261d55c54e29ee8d,2019-01,Essex Police,Essex Police,0.512278,51.579151,On or near HOLGATE,E01021301,Basildon 011A,Investigation complete; no suspect identified
193b2e197e330f56d40207fccb959a91b245fcfc136d27938f6fa42d183ff88e,2019-01,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
1c7735c0fd9f0f718b7a41c54ec9e5c181e23da108476cb79974eef80c8d0e96,2019-01,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
e7160c00dee5cc59820afe86bc32af01acbed8c72612d580d8d2b5a50eb339da,2019-01,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
64cc42a4ee6d71c2820f9344be59e714a228f93f87dccbe490af5058407ceb51,2019-01,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
c2f6172338c6efff1e37d8b0c86f63a877be855a27af0295ec23731153647855,2019-01,Essex Police,Essex Police,0.737422,51.533642,On or near Parking Area,E01015891,Southend-on-Sea 016C,Investigation complete; no suspect identified
465d26dbb0a9707bde2aaca2646048a8c5562b5b324bf6f275132424bfbf9aa3,2019-01,Essex Police,Essex Police,0.208819,51.981614,On or near FRAMBURY LANE,E01022073,Uttlesford 003D,Action to be taken by another organisation
71fa24f33807752f0da68be3893fd2152bc0a19c4d00769333b93eb8260e751e,2019-01,Essex Police,Essex Police,0.718808,51.537070,On or near TOLEDO ROAD,E01015841,Southend-on-Sea 014C,Unable to prosecute suspect
014a73fe4c5204f195697f75431e0cb1f2aedbd3673150cbfe40a1daee38051d,2019-01,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
b6f36e98f2cdd2c78aae963dad4c6e65c21034094d45bf5936629db0a53f2abe,2019-01,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
f1ca42e5035044d6897b78d4737c21d7653f915d4b3b4bbd8fce32d90a9f5ae7,2019-01,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
