Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
90e6a673e0243d9fbb92eff4bc41d5b5cb3eee8ad7dc9f8dde3fc7fb110b3459,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Offender fined
d1a28c4fbe298437575c0b7ff0f5e8380a36e9188ce5e507930511ca5e144328,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Offender deprived of property
b977502193a93caf2105a0c6100dafae550255c7fe97dfcebde1a210aeb6d6cd,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Offender given community sentence
1ccc4c7c33fafbdb78e1f0e71bb8e6481464c6110287b9732b3deea613f39c01,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.245218,51.874678,On or near LAWRENCE WAY,E01022310,Gloucester 002B,Offender given suspended prison sentence
100afc14063a3405e25b14ddad62efb17c2e99f6c491293e90e5a8d6d3ffc32d,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Offender sent to prison
802a778468539d1480ea86bcea685e286b6095a538fcfe4a55ae9f80cc5cf971,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Offender sent to prison
0e22ca389784dd936c542158575170145ed16838b904a3abd9f7e09abdf7f00d,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Offender fined
8846e3010d535bd480c48c229954d43a6cdc23469d0c397fb3c3dc02b4a21aad,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
82b8da4e611e84bed47046a819f4df0c73fbbd93e30569df6e58313ab4ef6012,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
6ed9ad8e90d552349e74346b9ffa31b5c2776dd6b59e8784c65b41a6fc9800de,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
54fc198eb4b72f9e0fd3e9074c2441f7f623eaf168c47410a42c2c35dea8f4bf,2019-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
