Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ca533c339cd8e824b41249b7d73b4db3077cfbde0366208916e07a7860c2aea3,2019-01,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Offender sent to prison
c834371ab49fdb315d48994c62679f90a168b1fcd575c862eb3d90de326ed767,2019-01,Gwent Police,Gwent Police,-3.049192,51.655323,On or near TRANNON COURT,W01001501,Torfaen 009A,Defendant found not guilty
201d267bf01b4c6d6e08917e0136deabbc1c617f888c2fb4244e29555146b905,2019-01,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
440ae10bb4366207c0e26b6f557824385b3833f4dc5035f0d3a5352d7d8904ef,2019-01,Gwent Police,Gwent Police,-2.925603,51.601073,On or near A48,W01001664,Newport 010A,Offender given penalty notice
377e0b477a2354ada89050b32b7d60a96944e88703422c0cab88d30b76971e56,2019-01,Gwent Police,Gwent Police,-3.282166,51.648676,On or near A472,W01001377,Caerphilly 013A,Suspect charged
35bd6090a63684be8acb7a48bf08386385ee825181696eda78a5c812d864fc92,2019-01,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
4cb571a180d0964e3aab1a3e10e35dbb7ac715b9145ab002bb1570550226369f,2019-01,Gwent Police,Gwent Police,-2.985681,51.580353,On or near CANAL TERRACE,W01001661,Newport 018C,Suspect charged
9cf728cb4edcc98b2ecce58af1337641ce4b129e4c44285728e0fc733463ebe1,2019-01,Gwent Police,Gwent Police,-3.068272,51.736920,On or near THE AVENUE,W01001483,Torfaen 002B,Investigation complete; no suspect identified
35b69d864b99aa61f0cd5e6c34f148de033b91b7c9ff29870100d709360d32b2,2019-01,Gwent Police,Gwent Police,-3.131429,51.489588,On or near CLOS HECTOR,W01001875,Cardiff 037C,Investigation complete; no suspect identified
57e1f73d6e9ef355afb7b9f7045dc813931f24f98d940840c1c5a4a9c079e43f,2019-01,Gwent Police,Gwent Police,-2.996478,51.577169,On or near BELL VUE TERRACE,W01001659,Newport 018A,Investigation complete; no suspect identified
96f98a11578bcfb0f9ab70efb08b01365b7472b741532ff99e65b7dbabc694b8,2019-01,Gwent Police,Gwent Police,-3.218595,51.795547,On or near A4046,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
