Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6767c919e5a1fe012cef971a9433b8f7a3b2d90b8aeccdb0e872a015d8fb350b,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.126651,50.800979,On or near FLAG STAFF GREEN,E01022811,Gosport 008B,Offender given community sentence
6dcdabfed517d8ace6e5613fb97496a0314f8350fe8ab8c6a3c65257db5d8f91,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.081688,50.805013,On or near TURNER ROAD,E01017038,Portsmouth 013C,Defendant found not guilty
c3dd6be47dbcc319ef87d53f49ece287998739d05d9dad84dc1bff436d728a16,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.475804,51.002558,On or near WOODLEY LANE,E01023199,Test Valley 013D,Unable to prosecute suspect
b101de8d080df77393adb3b6ecd8eae67d5e17de10aa29fd5969842fb4a56da4,2019-01,Hampshire Constabulary,Hampshire Constabulary,-0.761665,51.248549,On or near Nightclub,E01023142,Rushmoor 008B,Unable to prosecute suspect
0ed95667b51320f24d729f53194d80c8fe6cf1b390c691670d171e9b1fd39a91,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.405313,50.937979,On or near OAKLANDS WAY,E01017150,Southampton 006B,Suspect charged
66106654b782ec1b246a67fb01631c7d86a6d98579922ff4825a37cd6ae8f2fb,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.058053,50.807379,On or near NEVILLE ROAD,E01017018,Portsmouth 014D,Unable to prosecute suspect
3a47f374b097034f099908ff3d3a752601273f42521d01d34c522b320a8398d6,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.339995,50.911352,On or near BOSWELL CLOSE,E01017166,Southampton 025E,Unable to prosecute suspect
f2686c4a46e68f3e4d4f91f02740915d76b4bac356de7bbb897eaa66afbbc8a2,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.076835,50.795586,On or near A2030,E01017022,Portsmouth 020A,Suspect charged
f2c8f6819828303fd8d01708c4ad19c23cd74ac5e5b4a5e82f70d9dcef2da57a,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.396578,50.919005,On or near FORSTER ROAD,E01017159,Southampton 017C,Suspect charged
22dc049e0474fd92106fd699918630b8f44169f1838ed59e9c1fbe1edd5d5f1e,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.771673,50.853104,On or near LINK ROAD,E01023064,New Forest 010C,Unable to prosecute suspect
34882660655073c5f01c7c74aa299bed2153206151f68815711eb4866717b2bf,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.124271,50.793920,On or near Parking Area,E01032878,Gosport 008F,Formal action is not in the public interest
6a6e590804cf0f424da1310bfc5133afeb9de3aba721fdccbcf7062a80a59f09,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.456066,50.917112,On or near A35,E01017210,Southampton 019B,Investigation complete; no suspect identified
1b6c30a5474878e5f54bd3c84458cd3687d8b7224c8aa7c2d0e0b60710a039f2,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.703539,50.792773,On or near Parking Area,E01022997,New Forest 016D,Action to be taken by another organisation
ae9ec1b891ab7d55b9f2ea275b338eb8f8ede538e275c505ab7d10ed1b8c1cd8,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.448863,50.924776,On or near WALNUT GROVE,E01017208,Southampton 019A,Investigation complete; no suspect identified
072cdf0e6e152ae9cd9fcd91aea64f9beb25b06bb0eace83c6b9c3972bccec15,2019-01,Hampshire Constabulary,Hampshire Constabulary,-0.991011,50.874417,On or near MEADOW PLACE,E01022968,Havant 008C,Unable to prosecute suspect
89e7d8c4e2c25046b65ac23c00bcaa0b3c5ff0ed9c671866a81ff5e5d0575068,2019-01,Hampshire Constabulary,Hampshire Constabulary,-1.360114,50.976264,On or near WHYTEWAYS,E01022674,Eastleigh 004E,Suspect charged
