Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2b762fd55e3eed3df20df0f36584be38da5cd706acabd7aa2968fbc60c2f08c2,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.166168,51.882262,On or near BROADHALL WAY,E01023763,Stevenage 012A,Suspect charged
6ffcf9344e8be6e032c979310cd91f8e14015a327d0a31d08ec0bf5205b9fc56,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b081e868f0f3cfaa269d1d9fb86c740d4b3b6396de522fd890a78cf64b2b15b5,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
0e431796ca1aba6e44cad4d8e97599a06fa35e3f0b15d00ce8344aeebc1337af,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.458063,51.767156,On or near RIBBLESDALE,E01023402,Dacorum 008B,Investigation complete; no suspect identified
6e9d3549645c568a7e993b13ca8c3e16fa467298073595ed71690e6656f8b7a0,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
402a575bb395ff9ff759196111d477a40d5c006dc1373c544e452a9b90bfea2d,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
fa384b1c19dd0105690146426871ecbc41ff393f8371b2c51f9011615be9b658,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
0a7729798ec79988bd2ab58257a2014e43170663c6b7f3046478cf6458186253,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Formal action is not in the public interest
4a785a49abe3f68a4f4c38567439ef729639f9c655bec3f1b616e33474028ecf,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Local resolution
a6023214bd49f6c992bed766b8435d54811930bb0c02eafda3d84c5e1e61e57c,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
85a15837d12a3eeb0af78847eea73ca13dfc1ec7f45f1d09cac0f3513af0a168,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.304488,51.637057,On or near A41,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
37773265b096e7ca821cb4709a7210decaf6e6bc077cafd5cc6f63cf2f6b7566,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
80ee0b38b25f2b3894dff5ba10be46ccc2ed568b6e7a73f1d7e7f3bebe8daf9f,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.466500,51.758103,On or near GILROY ROAD,E01023401,Dacorum 008A,Unable to prosecute suspect
6789b99f27c60818c2f265d51d5f114acacbb7c119566bfeeee00daf989592c5,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
f7cd9ca44989db43b995c242bbff3ee5702358f338f45e4ea87c28020e76a84e,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
f559f31300659f5f365da1f502dbedf9f59915fb7f2456ea79ba1922ea51247e,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
ad9ed0b70e87eb7703373f0362f3a034052f3e7fe001e7fdf961058e6ae1924b,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a drugs possession warning
3a0c5026fbefc9b8bdc3c5646234a54cd1b1d3db68195793dda6e0d3885332b2,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
fc4546902fd4257f5bb81613d69f263ad3808cd6c4fdcf7019f0ca7074d1d794,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b063b14be2e65487cf3b3271574a4dc42e5f4cba5436b47386b851adcde8ec1a,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.414354,51.677770,On or near DENEWOOD MEWS,E01023878,Watford 007A,Offender given a drugs possession warning
2e9e0169c604a5dc5cce4a67328dd64159b0470aec57ae151cbb0df43038dad1,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
7eef332e669d4ce052355ff77bb3cb410c6946fe91f2a698dcca7123ea896e02,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Local resolution
9b43b1610d2ba1b969e8bef7f3799d3d91ff8dc8cd547f7583319062a2f4eb4f,2019-01,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
