Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c1c56ba4f1d7ce2866b3fd645bf9f18e5d6b6aa4f61fa88b14991a39515bafce,2019-01,Humberside Police,Humberside Police,-0.167797,53.720175,On or near MAIN ROAD,E01013101,East Riding of Yorkshire 033E,Offender sent to prison
392c164a810db30524b0bd6cca88eefb956f6aacb73b26143dcf7fa0aab2f106,2019-01,Humberside Police,Humberside Police,-0.058569,53.570610,On or near MANSEL STREET,E01013138,North East Lincolnshire 006A,Investigation complete; no suspect identified
84a209f392f20e3998f309ab16e91f6c551c1f2b5103093ea71f10b69a5ac9f4,2019-01,Humberside Police,Humberside Police,-0.923064,53.849788,On or near AUGHTON LANE,E01013022,East Riding of Yorkshire 018A,Local resolution
52de7779bf1ed9c6647fec3b009ce7c29247708015b809f9b29fe40d0788a7fc,2019-01,Humberside Police,Humberside Police,-0.055282,53.570494,On or near SIDNEY STREET,E01013203,North East Lincolnshire 005E,Suspect charged
a3d4ea7019a54e57a0f4e9c90dc4801ef95f4479cac9bb6e890a251ed0a59ad1,2019-01,Humberside Police,Humberside Police,-0.668809,53.586104,On or near Parking Area,E01013334,North Lincolnshire 009D,Suspect charged
27bddf0fe613e94f66bea4da7e1357caba3b2d4a09a840db7037595b625c6c00,2019-01,Humberside Police,Humberside Police,-0.074135,53.569379,On or near WOOD STREET,E01013137,North East Lincolnshire 002B,Suspect charged
58d33d8abba67bc5caf433b80775993d5a7aacbc04e33fa3b86e67e7d809fa73,2019-01,Humberside Police,Humberside Police,-0.647799,53.590713,On or near Parking Area,E01013330,North Lincolnshire 008D,Suspect charged
7484713455e195e9e0a0b1885193af09481ae18ca12edef83189880b45ecee55,2019-01,Humberside Police,Humberside Police,-0.661654,53.599301,On or near SHEFFIELD PARK AVENUE,E01013297,North Lincolnshire 007A,Offender given a drugs possession warning
2ef1a2bd7ef2c15e816a91df9fb71df42920316b3650eb270a1e9cfeec29c09a,2019-01,Humberside Police,Humberside Police,-0.340028,53.752898,On or near FERN CLOSE,E01012856,Kingston upon Hull 024C,Unable to prosecute suspect
2a850e43e75625a9f09079c4f0aa2ab4c9fe25d64094aab0b82c7dbfd579f50f,2019-01,Humberside Police,Humberside Police,-0.308698,53.782565,On or near B1237,E01012790,Kingston upon Hull 004D,Unable to prosecute suspect
4efed07ffa2339a3fc95852939ccaa664074a42a6bc41f07860481841a7e811c,2019-01,Humberside Police,Humberside Police,-0.870881,53.739973,On or near ORCHARD WAY,E01013016,East Riding of Yorkshire 037D,Unable to prosecute suspect
a7e31cdd9d86e8db518d3d612745071d916a97d34bd0c9a5cf8da1e6c2c0bc1f,2019-01,Humberside Police,Humberside Police,-0.816299,53.553047,On or near CROFT LODGE,E01013242,North Lincolnshire 020B,Unable to prosecute suspect
405d5a6087f623149eb0c0dbcbed34bcce8a21d2e03ed972faf6f768f880f368,2019-01,Humberside Police,Humberside Police,-0.776055,53.932987,On or near BRIDGE STREET,E01013055,East Riding of Yorkshire 011D,Unable to prosecute suspect
15a4e84eb3317dce577cf1f5f96141cb4e3b007cf1c5004ae47777da2455b719,2019-01,Humberside Police,Humberside Police,-0.349509,53.796186,On or near CLEARWATERS,E01033107,Kingston upon Hull 001H,Unable to prosecute suspect
50f140f31dbdfdd80bb4a7abba0de95729d2941a439f0a3024c47c61e2eb0b33,2019-01,Humberside Police,Humberside Police,-0.364893,53.736736,On or near NEWTON STREET,E01012889,Kingston upon Hull 030B,Unable to prosecute suspect
48ec97f2466dc004920f97d48c8a8cd740cd7e997819d9a8cb9431ef1ebeedbc,2019-01,Humberside Police,Humberside Police,-0.356555,53.760811,On or near PRINCE'S ROAD,E01012761,Kingston upon Hull 015A,Unable to prosecute suspect
f144dca494d0d6aff0cd85be270f911ff7aa4bb59302b5fddd6fc28c4984b9a0,2019-01,Humberside Police,Humberside Police,-0.355618,53.752169,On or near ALBANY STREET,E01012850,Kingston upon Hull 024A,Unable to prosecute suspect
ac186575e84c41bb6aeb27ed5d486f637e076f0b445a616d8ca1e0e473e71e0f,2019-01,Humberside Police,Humberside Police,-0.032664,53.557988,On or near ELM GARDENS,E01013129,North East Lincolnshire 017A,Unable to prosecute suspect
6169d99332833584cb7bc868f506bf2978f81ddd042e9ddfb82fa548b294b287,2019-01,Humberside Police,Humberside Police,-0.075144,53.569772,On or near PETCHELL WAY,E01013137,North East Lincolnshire 002B,Investigation complete; no suspect identified
78ab63db3af8b43734564211e02e6471cd53c58c3f0622eb6a849dddbf965784,2019-01,Humberside Police,Humberside Police,-0.030133,53.560158,On or near MARKET STREET,E01013128,North East Lincolnshire 010A,Investigation complete; no suspect identified
8601ec3a78d27f3b71a7121ed829c12d8b9b4a23bdb6248b228d9bec1ff93ca7,2019-01,Humberside Police,Humberside Police,-0.876600,53.489843,On or near AXHOLME ROAD,E01013252,North Lincolnshire 023C,Investigation complete; no suspect identified
ee0d57f6f8321b3a10cddb6964714614f2483c580a0993f2536581d8d29708ad,2019-01,Humberside Police,Humberside Police,-0.296235,53.747762,On or near HEDON ROAD,E01012848,Kingston upon Hull 020B,Investigation complete; no suspect identified
bd3b1b9ba5d5b2981cb54ed70d98c35d3d6722b2da9909148d476fc7c4090b32,2019-01,Humberside Police,Humberside Police,-0.680883,53.561715,On or near ACER GROVE,E01013283,North Lincolnshire 016D,Investigation complete; no suspect identified
272bd58c6d5c6a0abc3dc3585a620457d51c2292397348dd5f457c609a640074,2019-01,Humberside Police,Humberside Police,-0.190749,54.081817,On or near QUEEN STREET,E01012948,East Riding of Yorkshire 005C,Investigation complete; no suspect identified
08a96fe6e0d6b0f02ad478f38d15da1b5b1db72b3429d69ce43da2b0ab16d638,2019-01,Humberside Police,Humberside Police,-0.288107,53.862177,On or near ARNOLD LANE EAST,E01013034,East Riding of Yorkshire 014D,Investigation complete; no suspect identified
9f9c07ad0eac9b3d177b1c85cb3443c9ed71349f9d288fce25a94761e668f5af,2019-01,Humberside Police,Humberside Police,-0.251016,53.629233,On or near Petrol Station,E01013308,North Lincolnshire 004C,Investigation complete; no suspect identified
a2514fca22f411d97b08dd9739e24f3b13cf9d1ba16cd2bfb6820df193573e2f,2019-01,Humberside Police,Humberside Police,-0.352090,53.746206,On or near PARK STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
12a07d3f63943b54dad67c754297840023f245663925622fd26d85779455197e,2019-01,Humberside Police,Humberside Police,-0.669577,53.859408,On or near SWEEP ROAD,E01013121,East Riding of Yorkshire 015B,Investigation complete; no suspect identified
acbe7888abbc6a957be3945298f039bed0f48f347891ca6ad773a3fddbf63f51,2019-01,Humberside Police,Humberside Police,-0.102438,53.544723,On or near CABOURNE ROAD,E01013210,North East Lincolnshire 019E,Investigation complete; no suspect identified
62edbedf4e38d26b163ea0d43b8259119e5af5e80287b99d49a9eaf8d7950f67,2019-01,Humberside Police,Humberside Police,-0.076594,53.559457,On or near HAINTON AVENUE,E01013162,North East Lincolnshire 011C,Investigation complete; no suspect identified
a9c8f892b9f7b0400ed8b53d4adc2520195a33a21407a6f4d0e866c6f50334fa,2019-01,Humberside Police,Humberside Police,-0.252087,53.756907,On or near MILFORD GROVE,E01012845,Kingston upon Hull 021C,Investigation complete; no suspect identified
9d3acd20eda2183f34f5550046e43dc6af54289e83c8f6162871b7293f737f82,2019-01,Humberside Police,Humberside Police,-0.095858,53.569924,On or near HAVEN AVENUE,E01013220,North East Lincolnshire 003C,Investigation complete; no suspect identified
