Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7fe3bdb06e751c7fe7cd0c5f941d505a6c0158dab9823573ce8cf0c073e48abe,2019-01,Kent Police,Kent Police,0.857401,51.066939,On or near BOURNE LANE,E01024037,Ashford 014D,Unable to prosecute suspect
c3e0514a62bc61114f764e19877990d7397963eb1f045e427df73ab0854c7046,2019-01,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
297bf646dd74981dc7848c0cc14e38cc0566a85551d58623514281bdd2ed68b2,2019-01,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
766626fbfbe349027fd1c2a4a5e6259dcb7c4e21334fc6536533a873e0569276,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
f242133a287b5a783cb77c45de74659c8020636d55bea2a0a516a9dc375b6dac,2019-01,Kent Police,Kent Police,0.889992,51.316424,On or near THOMAS ROAD,E01024553,Swale 015C,Investigation complete; no suspect identified
45ef4692f7ee7d7b8ddb0bb2f37a961291cdf10c1817cd957c79f72ceeab42b1,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
073d2d2bea6f860e230435fdd05cbaffb44538f8042a6110930010fcab696f17,2019-01,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
3ab16d65e6ca7c663b4bfb33e1b1ebb146a1bdc53eff6712ba51bb3c31a8d1c4,2019-01,Kent Police,Kent Police,,,No location,,,Action to be taken by another organisation
61aa9d0ad2cfcc19e274730eb78223be3113cde26b2812ef394dc1232cb701dc,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
8fa752c4ecd3af93f090ce6216efe54bd193489e5ca88813e922efbac32ed0f1,2019-01,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
91ea4ccc781a0db92f54173af4a92c7b899e1013c2f4f02b3d60fdd18a05c258,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
311b7476efb1e86c5de5467754b07fccbc73a2fdd59bc40f002515bc42d80fab,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
ae20d3ed863e94ddbbcd2ec261204ab29d7c0f0872023b52ced72e2e2cfe8b50,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
7f0dd00bb3f4c612d4a3408727e91ea0f07218f63366df4f53f9b6ff34ba890c,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
966ea686b9882468611143a96da785df8caf1400ad8de3e927eca6587ed73f44,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
6acc3aee3d02ddae334a9bc0e0aa92b11be427e91c06715ad1c82195d285bac5,2019-01,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
1d60f35ee60f61c8cd4bcdc9f03143fcf4d84c010d563af20cd1f8be4981a06d,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
fbb70a4d185d2e07271e7c7bdfa6aa122b99b82814fa970de0dded0f0140017e,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
e15a980add839799090323b3f0bf039d4d4e343323b3ae2e295df655e50c58bc,2019-01,Kent Police,Kent Police,,,No location,,,Further investigation is not in the public interest
f3b1cc065a0ada64728df44fbb78378403bccee083b810bcfb879b1d029c13c8,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
4820e7bc6212c2dea0aeb93a1c9065e3985d1c66cab6adc65522efa96b4a06be,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
b778096b922193b01fff08a96cb12003268847c20211d2ebdb45d4cc78f7fab9,2019-01,Kent Police,Kent Police,0.881770,51.148928,On or near A292,E01024023,Ashford 005C,Investigation complete; no suspect identified
5af42d3cf87a1a4b3a78d9713ac05d0b11d630b044621271d470490563f2ac99,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
5c915426ff9104fd1d202a62c89eab30f5fdd0a609dfa8cb89c32302b6add19d,2019-01,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
9c32a91515ede38519c8b346cd174628dbc52bcb01b7e546eb93ca38bbd1f54e,2019-01,Kent Police,Kent Police,,,No location,,,Suspect charged
