Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
beef4169deaa597f247302ab9e1342c8b9fac9babfb03b533ed191058ac208f2,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given community sentence
50590c8fb4f55d7bae5b50f7e2991d309c47a753f36aff5a1d1b29f7ae371bf9,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given community sentence
4fafd5e77482b2c6654c9afb75f34e743c155110752e66081c5213c9227bbfc9,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given community sentence
25c3674787f63fdb969fc176ddc9f37b80d7f88f1f850cb8d9694f13030868a3,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender ordered to pay compensation
d64a3f4aacaf8abc42cdb8c75220d6078c1fd2df0dfb09824f0bb809637e4d5a,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
d0e64e59a32b4a81c4d6b321f66d8c8adeda6806a25579816330b5c314aeec76,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
cec497fc6f049bf73d7cb3615f300abf964a8a725a4c488d36e896ae25c44987,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
5e5435881f94259fcab7adef390d088b318eeb6c1786bead689d337b803fe082,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
94e606cad6270246431c23b976990b3516f73d5be3f75c551a3d3a5fc8064bdb,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
9b9e4099a2973cd9efa1f2efcba4588f2fa3a6faa1983b540be6fbaa9ac01c81,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
07a3e3dfb79932502699423e2f196e4eeeb3e5b522590aa01677e63c9bb68317,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
da2cc27bf3fa4b46c23465618d4ebf7e5dbef5d1c40349982f033b6d5808abee,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
c79fcd067bac078eaa27b22f81b14738fa782185c2130751e12573d6b703c0c3,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
cdbbab194ef1aab129da912daeb886df6c4ab839242d3f8dc38774f0477b9ced,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
5d3a57125e5aa2ecf9902edff9d7263eeb8ad36de7e7488a14dee8a7a4e72f52,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
3d18accf424be4bd4348af38d34009c1c14bea156eb6c9fc7aa7afb8c6b558fe,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
919d276fd890d3d727e25669c12e3bd4ca4cd46faae62d221c2384bb19e00b40,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
2e99d56dc00d0c4a78d149eec1de9d3c3d7a6185d7730ef8df453c4c0edff5f6,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given a caution
b3b2b8afde85ff6d89b03906dd6dd44aa479367f27afe7017d74fa3f7c756d8c,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
17d37f883e483966f62b1ed0e8eae6be8b167dd31c518c8c62ea71314051390f,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
5501fdf63cbc30e362c80279f35506a62499f1cfd312647574cbb9618511a2a2,2019-01,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
