Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
71ae8556e294cd5ac75518c572231d811c21a4e34f0047cec5f0fd305b705fba,2019-01,Leicestershire Police,Leicestershire Police,,,No location,,,Offender sent to prison
8b22b9d7ff6a70196b53fb3810fde81b12ede11243294879ba19723ca5f20777,2019-01,Leicestershire Police,Leicestershire Police,-1.183315,52.658286,On or near BUDDON CLOSE,E01013617,Leicester 004A,Local resolution
ffaf69f2016c486e96050f9b4aa0fd953c5881b0c955d9ee2d2dd5ebc365a81c,2019-01,Leicestershire Police,Leicestershire Police,-1.172623,52.627098,On or near WYNTHORPE RISE,E01013637,Leicester 028C,Suspect charged
91e453ae6b8b445135bdbd1d9867c0179f2213b7da30449817cd1158e5373df4,2019-01,Leicestershire Police,Leicestershire Police,-1.200828,52.627004,On or near HINCKLEY ROAD,E01025666,Blaby 004A,Investigation complete; no suspect identified
08250356edca604779405ffc13df7ffc95f04df45eca4a6ef70739db4397949e,2019-01,Leicestershire Police,Leicestershire Police,-1.126824,52.577351,On or near DARLEY AVENUE,E01025988,Oadby and Wigston 006D,Unable to prosecute suspect
3845e6576e760243a8b4d9f7bed4913a1d4c6ddfdb43ca7daef945491a437039,2019-01,Leicestershire Police,Leicestershire Police,-1.052118,52.651448,On or near SEATON RISE,E01013695,Leicester 037A,Local resolution
8c1569e2b957da05977363c78c7e87d80676d3181ead4a76625cab65dac9830c,2019-01,Leicestershire Police,Leicestershire Police,-1.117885,52.632277,On or near APOLLO COURT,E01013748,Leicester 018D,Formal action is not in the public interest
c3e71145fd90e43ea755c5d4f9cbff4b2164ac3253717ce18edba5004ee912bc,2019-01,Leicestershire Police,Leicestershire Police,-1.146403,52.592732,On or near KEPSTON CLOSE,E01013673,Leicester 036A,Unable to prosecute suspect
7e35f2f990c0efc5cf5258223d954317f9fb716aeb2cbdfe963b966aa38bfad7,2019-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
af0e366f89915e798e6b789fdc996d10122a9e217b57c8750e571b384b66e487,2019-01,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
dbe37ac2efc3efe4f0c5c9e59324c11ac3bc307ffdc8e135bb72b2afbe883640,2019-01,Leicestershire Police,Leicestershire Police,-1.376701,52.534905,On or near RUGBY ROAD,E01025849,Hinckley and Bosworth 012A,Formal action is not in the public interest
56ecb6dc970aa80a81a16ecffda454f2189acb8949b125a511ba0b02340b5599,2019-01,Leicestershire Police,Leicestershire Police,-1.205461,52.766746,On or near PRINCESS STREET,E01025718,Charnwood 009E,Unable to prosecute suspect
e8cd8791cc782486a21dc7927a661a3e500501c9017a80e24d512dbbab58a4cc,2019-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
37ca6207156ffe7d41ea49999ced81b6de453a6f8c3240fd47296a1616c7abe3,2019-01,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
