Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d84b6975488a2c674d9465002a105dcab5e5b2447894f4118df82dbf2c2adb7b,2019-01,Merseyside Police,Merseyside Police,-2.739002,53.454488,On or near WILLIAM STREET,E01006877,St. Helens 012C,Offender sent to prison
168d0c092fa4a73dbd7f2219ba2f29c2df598174880d924b922a4c64f4c54ef3,2019-01,Merseyside Police,Merseyside Police,-2.955582,53.389814,On or near PRINCES GATE WEST,E01006675,Liverpool 043C,Investigation complete; no suspect identified
90696293d70470ff8a7cce822581e2c22844f998804d6125db18e01f5e5acb83,2019-01,Merseyside Police,Merseyside Police,-3.040782,53.437911,On or near MASON STREET,E01007238,Wirral 001E,Offender given a caution
da69b985d52b0c720b9ba91806d825e7971a6a01cccfccad998504e55d229525,2019-01,Merseyside Police,Merseyside Police,-3.012389,53.360599,On or near BEECH ROAD,E01007112,Wirral 032B,Unable to prosecute suspect
72efc57aca7751b5d16e0c7bbca8425ef902b74c1b5cda3275faf6fde5d28583,2019-01,Merseyside Police,Merseyside Police,-2.742627,53.450753,On or near BATH STREET,E01006832,St. Helens 012A,Suspect charged
3364842b92df14650039e7669e5949d7244ad7aed67cadc9c5feb0024bb27968,2019-01,Merseyside Police,Merseyside Police,-3.058944,53.424888,On or near BEVERLEY ROAD,E01007311,Wirral 004D,Unable to prosecute suspect
4dfeecc02576f995e37a963ec482b807db9302071c791c0dbaeb1e9e52ee2f93,2019-01,Merseyside Police,Merseyside Police,-2.989774,53.402057,On or near STRAND STREET,E01033756,Liverpool 061C,Unable to prosecute suspect
1de0868932dde26c291eb178a9e1de9fda63e56f1cc21678282de4d0b4627c5f,2019-01,Merseyside Police,Merseyside Police,-3.008961,53.644881,On or near KING STREET,E01006968,Sefton 004C,Suspect charged
b73744f97c970a9e0ae0ac78cbc13323e4ec8671abaa6ec935fedf774c54ac73,2019-01,Merseyside Police,Merseyside Police,-2.965123,53.670078,On or near LYTHAM ROAD,E01007033,Sefton 002D,Unable to prosecute suspect
6a893f3b85002655eb8062732561a4baeeb21696b462c8a1a7c25997c7bbf757,2019-01,Merseyside Police,Merseyside Police,-2.999269,53.651461,On or near COURT ROAD,E01033097,Sefton 004G,Unable to prosecute suspect
