Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0c74ac76c04c853ab4ac5488830376bd0b342dcd392a994d4630f73410eb8f79,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender ordered to pay compensation
acc4057fd645e753d2700452ddeb62f6f16ac27542c8899648ed6a137ab32994,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Defendant found not guilty
fb3b872fcf0a662458ec9ccf24a578b26d55665485c3f0ac7fd927511dd021f1,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender ordered to pay compensation
af6fd38b4adde41e1d9f9025865484d19a1f4bf9ef83df5eb0215e5d6e90bb20,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Defendant found not guilty
0e9c8e27270386897526ad3ba71f832a67b7b96162267ad0e1ebb731c8cec80e,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender fined
44c7fd91b9d559a43551536ac9296535622f50d5fe44ea2c52b9ce4e5e881ae4,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender fined
81d408fb32af54e69582d04857902d00d6e2994c72e04368b75f78d1021a8cc0,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
38ae940342eabfa3ec38092dba15415e931f73ea662de3ad94116a2531f492df,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Further investigation is not in the public interest
88005b4548314b7f95e72db6f748cf8b681bd061fa064a1257caad17e4f6c6c2,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
555c1c7b4a4aac061a4267ea4f061a5e526b38e13e862345373eeb6e483ae701,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
0a78df44b2ab48f4c3a88f1cbadd2abea0e300d03cf3f0f270578212e0f95e9c,2019-01,Norfolk Constabulary,Norfolk Constabulary,1.391777,52.619333,On or near THE GLEBE,E01026509,Broadland 017B,Investigation complete; no suspect identified
9c9189654d82e4a245cd577d4887ded91f64b9d7a1e07300c07ae2c49e2c4967,2019-01,Norfolk Constabulary,Norfolk Constabulary,0.406853,52.749052,On or near PEEL STREET,E01026667,King's Lynn and West Norfolk 009B,Suspect charged
465ebb61be5e1be1f210d04efd0a78c267b1ca2d82715ab48eb4455e5e62ec40,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Local resolution
8896674314e378c6aa2840326c0090e67cdc39f0277aaae72f6a1d508e1c3169,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
cff69578dbe5e8eeb52f07a7106e2921b0f5b7232c0d8c31e14ceb907fb3afd9,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
4fcfb29c87998ab8260cbb52003e408cd59af16d58269de0ccc57fa0c9c66afd,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Action to be taken by another organisation
bab3dfee164c4ef65fedf47d22864d07b13c09a7297011644cc042d32153d23a,2019-01,Norfolk Constabulary,Norfolk Constabulary,1.294028,52.638850,On or near MAGPIE ROAD,E01026846,Norwich 003F,Investigation complete; no suspect identified
011557959e60b338a465b47d1041c71382eb43335aed0b66cfa13f9708c473c9,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a35dbd60f4c2a22e96ffb2c1ca898f6b4bfc02a45d37a276d3e5fb6ea62bd78c,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Local resolution
723bbbdace0ad02d89352ede7bad9e1a539000a853269401bb5f72a89a5f9325,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
9e177223b5e1da09947b53b1a84f8fc64a919402701dfc414d0d5764c335e1c7,2019-01,Norfolk Constabulary,Norfolk Constabulary,1.279121,52.634038,On or near PORTWAY PLACE,E01026824,Norwich 007C,Investigation complete; no suspect identified
0ab815b98108dc83db726f0ca9370f72ac34a498c9f6c58ae2ab2dc00c40af9f,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ee372dcd85705688116bfadab7c492a31dc21e8b22b17605264ea7fe8e08af1a,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Further investigation is not in the public interest
a4cd8cfc15ec03f3a7f1f162bee75089608bfbd2983dc0caa6829bf294dc2194,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
d1afe32e108b23b8181ea49eaf03aa424c045875e47c5d7f91fc095579ba63d3,2019-01,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a caution
dae6b07c353152abebf6fec43aef3364e70c8959d3c8614bbe3766c9df5345ad,2019-01,Norfolk Constabulary,Norfolk Constabulary,0.404477,52.755673,On or near WYATT STREET,E01026698,King's Lynn and West Norfolk 011A,Unable to prosecute suspect
cbb71b1abf40644ce239832371f6f4196c8bd06a4d58c7ba4b2ce61ffbeb80af,2019-01,Norfolk Constabulary,Norfolk Constabulary,1.721266,52.608800,On or near FISHERS' QUAY,E01026597,Great Yarmouth 005C,Suspect charged
c939348d85925b195fb7180ec7dc5e0747180d21acd7c5eafa56408091b96c32,2019-01,Norfolk Constabulary,Norfolk Constabulary,0.286388,52.757919,On or near BRELLOWS HILL,E01026712,King's Lynn and West Norfolk 008C,Unable to prosecute suspect
