Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f7e2f9fe540c0b92fcde32af3a6c068ce0ef94a8312679df8d30550db6241e4f,2019-01,North Wales Police,North Wales Police,-3.025115,53.036238,On or near BERSHAM ROAD,W01000367,Wrexham 014B,Unable to prosecute suspect
4a2d2c0441b83bbc573c0b4cf9887e35d7bfcd44d8e44fe5f75af7a0ed4c4ddd,2019-01,North Wales Police,North Wales Police,-3.059700,52.981494,On or near OGWEN,W01000409,Wrexham 017E,Unable to prosecute suspect
cfcacce6658462b515a8c189fb883a50a2c2511d6a7713f40cc2f1516e250423,2019-01,North Wales Police,North Wales Police,-3.195833,52.979690,On or near B5103,W01000208,Denbighshire 016C,Investigation complete; no suspect identified
01c4161baf9c15025d76aedae8e2fa5c2015c89e26d09b1c29d5d26b8913e94e,2019-01,North Wales Police,North Wales Police,-3.057216,53.219763,On or near FISHERMANS' ROAD,W01000274,Flintshire 007B,Suspect charged
97acae85c8ff6316f6114a85b078377ae7cc06ec23d8a515a669bd0f03a285d6,2019-01,North Wales Police,North Wales Police,-3.001185,53.093759,On or near LLAY NEW ROAD,W01000391,Wrexham 003D,Investigation complete; no suspect identified
40db7cd004620d56229585bdecc85f3b66d1fab9d02ceff002df6940742db354,2019-01,North Wales Police,North Wales Police,-3.062337,52.981551,On or near TEGID,W01000409,Wrexham 017E,Formal action is not in the public interest
8878a87e67909ac6cdd4f88fb11fadda090b4f424c2def0caab4b8d8bc203096,2019-01,North Wales Police,North Wales Police,-2.988698,53.046111,On or near A5152,W01001931,Wrexham 012G,Unable to prosecute suspect
a05da23c1dae8958eb8ed6f095dc9385d76dbc9dc9ab8a64549074da7f4c66a7,2019-01,North Wales Police,North Wales Police,-3.028453,53.185712,On or near WOLD COURT,W01000302,Flintshire 013F,Unable to prosecute suspect
8669039a11c7b83af448f3694c8c2b61c1573fe591c3aceaec499fdef9c71dcb,2019-01,North Wales Police,North Wales Police,-2.998727,53.045650,On or near Parking Area,W01000350,Wrexham 011B,Suspect charged
afcc901ed8f6080aee2144d9d140e3ae945a8113b28962ed7cc24e19b81d20e7,2019-01,North Wales Police,North Wales Police,-3.511567,53.312142,On or near LLYS GLANRAFON,W01000152,Conwy 005D,Investigation complete; no suspect identified
99030aba9f42e0f63165bc0eb5fe2f654e685bc70ee07b534dea7852cf546c07,2019-01,North Wales Police,North Wales Police,-3.062820,53.051540,On or near HEOL MAELOR,W01000362,Wrexham 006C,Unable to prosecute suspect
c62e9135e28d4846477540a81f1765ed8f203e41ae40a03f728010e697c5b572,2019-01,North Wales Police,North Wales Police,-2.976914,53.050074,On or near MOORLAND AVENUE,W01000425,Wrexham 010E,Unable to prosecute suspect
aa63a20e8dea36af6b8145fd68687dfa8e82d0b531d0dc53ea98f7cb32345975,2019-01,North Wales Police,North Wales Police,-4.254340,53.313916,On or near Sports/Recreation Area,W01000019,Isle of Anglesey 005C,Unable to prosecute suspect
fcc32d4feafaa79907e3bb98989d3ada3efeb5645aa64ad6e4012016067fa2ad,2019-01,North Wales Police,North Wales Police,-4.122941,53.229021,On or near BRICK STREET,W01000062,Gwynedd 001A,Investigation complete; no suspect identified
