Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9fecb9271e07e6b91e5b41f5a6f5cfef3caddf222ee52e78d631af199d851988,2019-01,North Yorkshire Police,North Yorkshire Police,-2.019655,53.960133,On or near BELMONT BRIDGE,E01027581,Craven 006C,Offender sent to prison
1ab28c4bcf11f331fc4f366a1b87e016715affa27f0f351a9b896e1f9f2c8c07,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
1037088001c6854e3266bfae89a408ff46b1756c4a897976ce35c110c4277058,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
364bfa2e82b25f82c07eb0a66c40414995b231474064868ffcacb94a2fd48daa,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
83580d8ddfe523b76dbca2d5d12877aa73b26fd7098e66153833643678915ef7,2019-01,North Yorkshire Police,North Yorkshire Police,-0.401152,54.281096,On or near VERNON PLACE,E01027804,Scarborough 010A,Investigation complete; no suspect identified
de753fd2182850ae6c6529a5553414172ca2fbb04460f70a36d665397afb63a1,2019-01,North Yorkshire Police,North Yorkshire Police,-0.799194,54.134790,On or near Parking Area,E01027785,Ryedale 008A,Suspect charged
354295aab33df10adc497c988db93d0d8ad3497dd0fa61dd78355b3b1f18b86f,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Suspect charged
398e1a6ece50d33d1ca087dc372bcfd9e439212530390ee8103f07e67f9364fd,2019-01,North Yorkshire Police,North Yorkshire Police,-1.118266,53.958070,On or near SOWERBY ROAD,E01013394,York 016B,Suspect charged
d190ebca1ae8b00c97ef00ac08c4a9dc182eb41dcadaabf94fad87e37532340b,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f50f8a127c0ff6ba67bec9b462547361babb9723e8c843678d17d119b34a7025,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0ea0db5009cc783f12fca5209db74ba548c5c40e13dab2a97f7250461e721902,2019-01,North Yorkshire Police,North Yorkshire Police,-0.399031,54.281113,On or near HARCOURT PLACE,E01027804,Scarborough 010A,Investigation complete; no suspect identified
88edfb829f5fe21ea2cd0d244a3e60926ea2cdf4d9c562b32434271c0bef27c2,2019-01,North Yorkshire Police,North Yorkshire Police,-1.461190,54.015722,On or near MEADOW ROAD,E01027676,Harrogate 009D,Unable to prosecute suspect
dbb4949388e82b7fe8f703838e463ee72604e14fdbdddbe632f00417c4f22a04,2019-01,North Yorkshire Police,North Yorkshire Police,-1.539546,53.988931,On or near Parking Area,E01027678,Harrogate 015E,Investigation complete; no suspect identified
6505eb949185771be6a3aa7298530de6cd33c7523a56edd7a8c26341716dc598,2019-01,North Yorkshire Police,North Yorkshire Police,-1.543616,53.994744,On or near Nightclub,E01027678,Harrogate 015E,Investigation complete; no suspect identified
fef54c41f44a461e20ff004d0ba110a0f9902a580b97fa4025191aba3b6a92e8,2019-01,North Yorkshire Police,North Yorkshire Police,-0.419260,54.281551,On or near MANOR AVENUE,E01027862,Scarborough 008E,Offender given a drugs possession warning
5a1a3fbaad61a82b10889b92c10f569c48cedab910020c0f2dfa89148d539fd2,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
5a1a3fbaad61a82b10889b92c10f569c48cedab910020c0f2dfa89148d539fd2,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
5a1a3fbaad61a82b10889b92c10f569c48cedab910020c0f2dfa89148d539fd2,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
5a1a3fbaad61a82b10889b92c10f569c48cedab910020c0f2dfa89148d539fd2,2019-01,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
28cf9d1bf6bd27ba50f5c109299f60da28a772252c5b1b4215c91c24bec7dbcc,2019-01,North Yorkshire Police,North Yorkshire Police,-0.880953,54.063925,On or near RIDERS LANE,E01027797,Ryedale 007D,Unable to prosecute suspect
126dd2f48c4cfc3341014fa60e04639f60c318443b7734b1892c8f44919c010a,2019-01,North Yorkshire Police,North Yorkshire Police,-0.442890,54.287539,On or near ROMAN WAY,E01027843,Scarborough 005B,Unable to prosecute suspect
126dd2f48c4cfc3341014fa60e04639f60c318443b7734b1892c8f44919c010a,2019-01,North Yorkshire Police,North Yorkshire Police,-0.442890,54.287539,On or near ROMAN WAY,E01027843,Scarborough 005B,Unable to prosecute suspect
01cec83b275c9c71743b0ea1e74293a3ce5ff54996215dead8a5b8eb73707017,2019-01,North Yorkshire Police,North Yorkshire Police,-0.442890,54.287539,On or near ROMAN WAY,E01027843,Scarborough 005B,Unable to prosecute suspect
01cec83b275c9c71743b0ea1e74293a3ce5ff54996215dead8a5b8eb73707017,2019-01,North Yorkshire Police,North Yorkshire Police,-0.442890,54.287539,On or near ROMAN WAY,E01027843,Scarborough 005B,Unable to prosecute suspect
c1aa6e496abc5d6a3ec9dc89419a8cd199de462d9a1bf1720ea2be9fd419de59,2019-01,North Yorkshire Police,North Yorkshire Police,-1.087415,53.977811,On or near BURTON GREEN,E01013350,York 009E,Investigation complete; no suspect identified
29ebee863e81119e68282bb679b2ea4a319445e1edae774fa82e351deff1f060,2019-01,North Yorkshire Police,North Yorkshire Police,-1.854369,54.301400,On or near LOW LANE,E01027744,Richmondshire 006A,Investigation complete; no suspect identified
f87144e65c89aa59e19772f30c107ff596540ea5a02c405894caa5218934f48f,2019-01,North Yorkshire Police,North Yorkshire Police,-1.105489,53.991043,On or near Petrol Station,E01013429,York 006B,Unable to prosecute suspect
f87144e65c89aa59e19772f30c107ff596540ea5a02c405894caa5218934f48f,2019-01,North Yorkshire Police,North Yorkshire Police,-1.105489,53.991043,On or near Petrol Station,E01013429,York 006B,Unable to prosecute suspect
f87144e65c89aa59e19772f30c107ff596540ea5a02c405894caa5218934f48f,2019-01,North Yorkshire Police,North Yorkshire Police,-1.105489,53.991043,On or near Petrol Station,E01013429,York 006B,Unable to prosecute suspect
da51d20c95fde7c2bf9949a828d181d6ca98ca4bafc408a48bfe7492d4567674,2019-01,North Yorkshire Police,North Yorkshire Police,-1.084557,53.788642,On or near DEEPING WAY,E01027906,Selby 006B,Unable to prosecute suspect
da51d20c95fde7c2bf9949a828d181d6ca98ca4bafc408a48bfe7492d4567674,2019-01,North Yorkshire Police,North Yorkshire Police,-1.084557,53.788642,On or near DEEPING WAY,E01027906,Selby 006B,Unable to prosecute suspect
325eb2c545c590ae01e01e6f9fd0af102ea24f9068c628544cf0213598c3ba6c,2019-01,North Yorkshire Police,North Yorkshire Police,-1.110533,53.988420,On or near BROADSTONE WAY,E01013429,York 006B,Suspect charged
325eb2c545c590ae01e01e6f9fd0af102ea24f9068c628544cf0213598c3ba6c,2019-01,North Yorkshire Police,North Yorkshire Police,-1.110533,53.988420,On or near BROADSTONE WAY,E01013429,York 006B,Suspect charged
325eb2c545c590ae01e01e6f9fd0af102ea24f9068c628544cf0213598c3ba6c,2019-01,North Yorkshire Police,North Yorkshire Police,-1.110533,53.988420,On or near BROADSTONE WAY,E01013429,York 006B,Suspect charged
325eb2c545c590ae01e01e6f9fd0af102ea24f9068c628544cf0213598c3ba6c,2019-01,North Yorkshire Police,North Yorkshire Police,-1.110533,53.988420,On or near BROADSTONE WAY,E01013429,York 006B,Suspect charged
04c7978cbfa9db5888a50da9ccc05d5d8fa0c06c7a116650f65659bee44e394a,2019-01,North Yorkshire Police,North Yorkshire Police,-1.080772,53.972718,On or near BELGRAVE STREET,E01013343,York 009A,Unable to prosecute suspect
04c7978cbfa9db5888a50da9ccc05d5d8fa0c06c7a116650f65659bee44e394a,2019-01,North Yorkshire Police,North Yorkshire Police,-1.080772,53.972718,On or near BELGRAVE STREET,E01013343,York 009A,Unable to prosecute suspect
721412bdc5e7e3b29b783b7c44db8b17d7a492f554ae636e6e741921b0f1938b,2019-01,North Yorkshire Police,North Yorkshire Police,-1.078003,54.202167,On or near AUMIT LANE,E01027775,Ryedale 003A,Unable to prosecute suspect
721412bdc5e7e3b29b783b7c44db8b17d7a492f554ae636e6e741921b0f1938b,2019-01,North Yorkshire Police,North Yorkshire Police,-1.078003,54.202167,On or near AUMIT LANE,E01027775,Ryedale 003A,Unable to prosecute suspect
a4907781b0eef033b5fdb0e3e8b47314151dd39d08a839f6b1219472d6295e26,2019-01,North Yorkshire Police,North Yorkshire Police,-1.048420,53.960692,On or near GILLAMOOR AVENUE,E01013381,York 014A,Unable to prosecute suspect
a4907781b0eef033b5fdb0e3e8b47314151dd39d08a839f6b1219472d6295e26,2019-01,North Yorkshire Police,North Yorkshire Police,-1.048420,53.960692,On or near GILLAMOOR AVENUE,E01013381,York 014A,Unable to prosecute suspect
639bd6e2b9cd8383035ff9e7b923488a5432f9a69129f7f3868317851b8fcdda,2019-01,North Yorkshire Police,North Yorkshire Police,-1.120720,53.958753,On or near SOWERBY ROAD,E01013394,York 016B,Suspect charged
639bd6e2b9cd8383035ff9e7b923488a5432f9a69129f7f3868317851b8fcdda,2019-01,North Yorkshire Police,North Yorkshire Police,-1.120720,53.958753,On or near SOWERBY ROAD,E01013394,York 016B,Suspect charged
8ed4ba99e32a4a1d59f9fcd4fc85fdf2e050316c4a4285ff7dc45bf7b6b53c14,2019-01,North Yorkshire Police,North Yorkshire Police,-1.080772,53.972718,On or near BELGRAVE STREET,E01013343,York 009A,Unable to prosecute suspect
