Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7fd33e30d4fc97fd0ae73a4a293fc7f79aab71f209e2d88084ddf778b256f613,2019-01,Northamptonshire Police,Northamptonshire Police,-1.146120,52.024028,On or near WINSTON CRESCENT,E01027264,South Northamptonshire 010A,Suspect charged
1edbe8e04df8a5f8c5a00cbf4ef63b8664429b96bc1ee74e03b0569a277ab42c,2019-01,Northamptonshire Police,Northamptonshire Police,-0.727050,52.398171,On or near MARKET STREET,E01027110,Kettering 007B,Unable to prosecute suspect
abb94a840e27e865efb97965975fab8ae4487cb02242dcab5102f2e056d80b9f,2019-01,Northamptonshire Police,Northamptonshire Police,-0.728832,52.405733,On or near ALBION ROAD,E01027104,Kettering 007A,Unable to prosecute suspect
efc2cb048c79400502e832e80b4ba39a88fb26ff17251425e5f4c9fe3b095ef5,2019-01,Northamptonshire Police,Northamptonshire Police,-0.727894,52.397443,On or near MARKET PLACE,E01027110,Kettering 007B,Suspect charged
7a29adf26770933ed240ece627781dc5c11885a877c5785102530b903943d23b,2019-01,Northamptonshire Police,Northamptonshire Police,-0.886286,52.049300,On or near PATRICKS LANE,E01027280,South Northamptonshire 008B,Unable to prosecute suspect
8a942fa93b85cae33295e6aad1ba78415cf2f0571b51f4c05e6a4a36c5f5424c,2019-01,Northamptonshire Police,Northamptonshire Police,-0.911601,52.245375,On or near MONMOUTH ROAD,E01027241,Northampton 017B,Unable to prosecute suspect
951d401add1d2e8727a6a5ff164a4b3381eeb02f0657e1567b12f9d36157e0d3,2019-01,Northamptonshire Police,Northamptonshire Police,-0.722107,52.376945,On or near PYTCHLEY LANE,E01027131,Kettering 009D,Unable to prosecute suspect
e6deb0069ebec0284d4668cdf8a745948191cc5141f36b061d5b2061122f2b6f,2019-01,Northamptonshire Police,Northamptonshire Police,-0.626040,52.286597,On or near B569,E01027336,Wellingborough 010B,Investigation complete; no suspect identified
ab937d4d434889808b9c682b893b671de3274d52b4abf2504087638f183397ed,2019-01,Northamptonshire Police,Northamptonshire Police,-0.599163,52.295074,On or near HIGHAM ROAD,E01027062,East Northamptonshire 008B,Suspect charged
a5301c0e58e049f7c9c63fd274c3226edfa3075c711295620959135a09973481,2019-01,Northamptonshire Police,Northamptonshire Police,-0.868995,52.253903,On or near LINDEN ROAD,E01027169,Northampton 012B,Suspect charged
a7fc6ab017c1437a93a5c17c033af9bd49e6d67ec720b44ef1f1d6fa49f209bd,2019-01,Northamptonshire Police,Northamptonshire Police,-0.720626,52.290905,On or near A509,E01027309,Wellingborough 007A,Offender given a drugs possession warning
61c6e405b9b878764b855a0576f7b528f0ffde04f7a65107e6f19307e96eb1dd,2019-01,Northamptonshire Police,Northamptonshire Police,-0.807857,52.262823,On or near STRAWBERRY HILL,E01027174,Northampton 005A,Investigation complete; no suspect identified
3c4428a7c98b6017757c7da234032a8f4730bab34cf2aae1f04d06c6d8c9efa8,2019-01,Northamptonshire Police,Northamptonshire Police,-0.980105,52.228752,On or near THE ORCHARD,E01027285,South Northamptonshire 001C,Investigation complete; no suspect identified
09fd04114fe1ccaad007638eaaa6d83bb206db6f115f9111d026def59bc77b87,2019-01,Northamptonshire Police,Northamptonshire Police,-0.840602,52.265234,On or near BURROWS COURT,E01027195,Northampton 004A,Investigation complete; no suspect identified
e654a8dd1cc523195759335b3a0dc90323e416ceda8fca08a33734815c36f086,2019-01,Northamptonshire Police,Northamptonshire Police,-0.709299,52.300240,On or near ASHFIELD ROAD,E01027312,Wellingborough 007D,Unable to prosecute suspect
bd7604b44bbe64012bb415840eadb5203037c764aaf221c9446e92a016329cde,2019-01,Northamptonshire Police,Northamptonshire Police,-1.154262,52.277346,On or near WELTON LANE,E01027014,Daventry 006E,Unable to prosecute suspect
c2c729dda3f8888568bcf9d4783abe61b0770aced0eb1e96ade884e0f62a6ac6,2019-01,Northamptonshire Police,Northamptonshire Police,-0.926383,52.244018,On or near TREVOR CLOSE,E01027236,Northampton 024B,Investigation complete; no suspect identified
a0b39a17e1b50b4e9d519d889bbbe3c5fb082f1885d1f4b2e2e5ae8641b1b5fd,2019-01,Northamptonshire Police,Northamptonshire Police,-0.902152,52.246628,On or near LOWER HESTER STREET,E01027154,Northampton 021D,Offender given a caution
d92cffe4d20922acfcb5adbb04281789185cc37c95b9a4bc5958ba0109089b4c,2019-01,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Suspect charged
69bff07e75506af2d0532a66c7fb50bc9aa7771ed6664925838ae26c994272ac,2019-01,Northamptonshire Police,Northamptonshire Police,-1.173493,52.386806,On or near STONEHOUSE COURT,E01027030,Daventry 001C,Investigation complete; no suspect identified
119d14a5e6bc11d7939c796579fd37b53103764ee54c4f58133333b3e0a26be9,2019-01,Northamptonshire Police,Northamptonshire Police,-0.712275,52.478531,On or near Pedestrian Subway,E01026968,Corby 006G,Investigation complete; no suspect identified
2be0d6f71e9fdb328e17804f4a8f781c248a3110c0f1d643b8bf4cf7ea7aeaef,2019-01,Northamptonshire Police,Northamptonshire Police,-0.842670,52.253899,On or near OAKLANDS DRIVE,E01027181,Northampton 010C,Investigation complete; no suspect identified
d96f8a3598246b5b8045fe3ed648718d56fc85c5f825cddba1bfd628dff7538b,2019-01,Northamptonshire Police,Northamptonshire Police,-0.853082,52.261985,On or near GRANGE ROAD,E01027168,Northampton 012A,Unable to prosecute suspect
f5622a9858c29b3e0a1d3be2ee2dab111737bde9cba5ad92dc34975541604750,2019-01,Northamptonshire Police,Northamptonshire Police,-0.682531,52.503683,On or near RUTHERFORD COURT,E01026982,Corby 001D,Unable to prosecute suspect
e471b22ebeb31e4d3cfe9c94052ce35f27dabac783ec8ad49ba32b8602c13f0d,2019-01,Northamptonshire Police,Northamptonshire Police,-0.528222,52.347636,On or near MIDLAND ROAD,E01027053,East Northamptonshire 005C,Investigation complete; no suspect identified
37890af6d7712025242e77695d6207bdf212a8d80bd59d86c9dcb26f4ffcbd2c,2019-01,Northamptonshire Police,Northamptonshire Police,-0.698958,52.283773,On or near MILLERS LANE,E01027320,Wellingborough 008D,Suspect charged
44b8f46964e9178219cd03647423131fad6765215f4805359e2010b059bc0b45,2019-01,Northamptonshire Police,Northamptonshire Police,-0.901066,52.229499,On or near WEST COTTON CLOSE,E01032980,Northampton 028E,Unable to prosecute suspect
e4542c77a0b19f2218dc24ab62a99748fa94fc7c32f2e9bce35bb2c4e3c40231,2019-01,Northamptonshire Police,Northamptonshire Police,-1.075497,52.227856,On or near CHURCH STREET,E01027025,Daventry 009D,Unable to prosecute suspect
d45cba9c95115c93926bd2ff570196f51dda33fc0fd545d07359f40cc6b1890a,2019-01,Northamptonshire Police,Northamptonshire Police,-1.170760,52.264292,On or near Supermarket,E01026986,Daventry 007A,Unable to prosecute suspect
076ad4a3c0ea572f5bf6e2590a2998683594e66d0002cbd5e6b2fcb760d06d6f,2019-01,Northamptonshire Police,Northamptonshire Police,-0.723342,52.346866,On or near Sports/Recreation Area,E01027338,Wellingborough 001D,Further investigation is not in the public interest
af5df705a501d4f9adb28d665d6bbf6bee281b19e16050c3338f0d3063c5e126,2019-01,Northamptonshire Police,Northamptonshire Police,-0.695637,52.495943,On or near Supermarket,E01026952,Corby 005D,Unable to prosecute suspect
93043285986e5f9e20f60c940de50e22dee0827c5f664e04d073da572581deef,2019-01,Northamptonshire Police,Northamptonshire Police,-0.717213,52.305478,On or near Supermarket,E01027342,Wellingborough 005D,Unable to prosecute suspect
d49d4bf7f8a6ab6cb565d2a773e599790da80ed42a8a60ab017714098cef61a8,2019-01,Northamptonshire Police,Northamptonshire Police,-0.706743,52.407535,On or near Supermarket,E01027127,Kettering 005D,Unable to prosecute suspect
281a44bad0573376c3368d29bf21ddb36596d6f282d33fc7a3eea00d8e03fb4a,2019-01,Northamptonshire Police,Northamptonshire Police,-0.715078,52.403004,On or near Supermarket,E01027112,Kettering 006D,Unable to prosecute suspect
bc49f3dc81f60eb895fc0f6eff37fbd50aba9c67e7315b204049a77517a03f40,2019-01,Northamptonshire Police,Northamptonshire Police,-0.716797,52.489629,On or near Petrol Station,E01026973,Corby 004B,Unable to prosecute suspect
75979920b6871c45264b8dc115e5b802cce32bbb24bceb5fe767589b8f22ae4b,2019-01,Northamptonshire Police,Northamptonshire Police,-0.896940,52.240016,On or near Pedestrian Subway,E01027153,Northampton 021C,Unable to prosecute suspect
b1b2510844a5b10a70fd546f377ddeca6f2470e602b21ab4cec0e6b8fa3a9144,2019-01,Northamptonshire Police,Northamptonshire Police,-0.856577,52.258854,On or near UPLAND ROAD,E01027179,Northampton 010A,Unable to prosecute suspect
004e901a1808ea1c4d30c8516b213ba8fd96c84dce0438121bbcf55c1d9611af,2019-01,Northamptonshire Police,Northamptonshire Police,-0.704160,52.317518,On or near Supermarket,E01027333,Wellingborough 002D,Unable to prosecute suspect
5779b36a69901da61c8bdfcd72bb729be1bf2f22c55c0ca9c571ad2b2b574b36,2019-01,Northamptonshire Police,Northamptonshire Police,-0.901039,52.235927,On or near HORSESHOE STREET,E01032979,Northampton 021F,Offender given a caution
393cedd80093d61cf39f38f4201cb26345710351c17552c4819ea8c8f9a8fd6a,2019-01,Northamptonshire Police,Northamptonshire Police,-0.910181,52.235778,On or near Petrol Station,E01032979,Northampton 021F,Suspect charged
0271c8931de6868ec5224665e0e3ecbc06cb468d6cf1d6ed066da4c725c5fb14,2019-01,Northamptonshire Police,Northamptonshire Police,-0.894572,52.239265,On or near Supermarket,E01027155,Northampton 023A,Unable to prosecute suspect
ff94397677c23a2499c00d0920398b38e1cf189f66c3a7b500922f0de75a2d48,2019-01,Northamptonshire Police,Northamptonshire Police,-0.897825,52.237974,On or near Shopping Area,E01032979,Northampton 021F,Unable to prosecute suspect
c90b6a0fbec94f52d9c4cde7269e929443c184cf32ba6456331d2bae2e7764a6,2019-01,Northamptonshire Police,Northamptonshire Police,-0.719542,52.417375,On or near Supermarket,E01027087,Kettering 004C,Unable to prosecute suspect
2089428c8316b22ed1b8ff5ec5e5ed0e5af887c68b92f0a906db1acedd4e6d25,2019-01,Northamptonshire Police,Northamptonshire Police,-0.596988,52.297548,On or near PECK WAY,E01027062,East Northamptonshire 008B,Unable to prosecute suspect
c31f915553f26d662888da5928d5ac41eec06d42592703d99d6c40740102784b,2019-01,Northamptonshire Police,Northamptonshire Police,-0.873046,52.258832,On or near Supermarket,E01027188,Northampton 013C,Unable to prosecute suspect
64c28a7d266a4fa922214fff1a2b9607cfe51e4509b0c5708bf7ce45245d350c,2019-01,Northamptonshire Police,Northamptonshire Police,-0.688674,52.305902,On or near Supermarket,E01027313,Wellingborough 004A,Unable to prosecute suspect
b2d6badeea3594b789a4938515b7f3246a2cb5835ae24069271dc74060329c57,2019-01,Northamptonshire Police,Northamptonshire Police,-0.545629,52.352239,On or near Sports/Recreation Area,E01027057,East Northamptonshire 004A,Unable to prosecute suspect
1b6df306908786cb3c7f2854eb3e3adcac5592b36dc4f409a9a0a3f91f3421c1,2019-01,Northamptonshire Police,Northamptonshire Police,-0.719181,52.292688,On or near Petrol Station,E01027309,Wellingborough 007A,Unable to prosecute suspect
0ce1e1f1b10355b24be71a967c39468d1bd1017a5a6da1391385fc5d6f7bf826,2019-01,Northamptonshire Police,Northamptonshire Police,-0.727107,52.402820,On or near Petrol Station,E01027105,Kettering 006A,Unable to prosecute suspect
2870f8161eb4ae9796b8a1d758abe4dd3d442dc656b86420bc2d1b76979221e3,2019-01,Northamptonshire Police,Northamptonshire Police,-0.689975,52.394439,On or near Supermarket,E01027122,Kettering 008E,Unable to prosecute suspect
14e63ac4bc6ec906e040fa6d7697f4890dc9d423db0fe70029c96c3c20d2ce9b,2019-01,Northamptonshire Police,Northamptonshire Police,-0.602154,52.295101,On or near BRIDGE COURT,E01027062,East Northamptonshire 008B,Unable to prosecute suspect
e3f81700ecf93792f45c09989b71e85d9337c78b4968143db7c25d81de43b173,2019-01,Northamptonshire Police,Northamptonshire Police,-0.689945,52.302572,On or near Shopping Area,E01027349,Wellingborough 006A,Unable to prosecute suspect
094ebe0bcab5afc7cdcc97b64202c0cf9dbcd59ecda442ddc596dc66d145d741,2019-01,Northamptonshire Police,Northamptonshire Police,-0.725299,52.403861,On or near CROWN STREET,E01027105,Kettering 006A,Unable to prosecute suspect
41d0f4ecabd54926e5217241cddab9014b8af13f900f134784faa50bab92f1af,2019-01,Northamptonshire Police,Northamptonshire Police,-0.897825,52.237974,On or near Shopping Area,E01032979,Northampton 021F,Unable to prosecute suspect
