Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8508c057abedadf92180fbc250791416415113874a6422efdae8c6058158ac47,2019-01,Northumbria Police,Northumbria Police,-1.565220,55.179193,On or near MILBURN ROAD,E01027528,Northumberland 010A,Investigation complete; no suspect identified
f306774910dd1d46505364a220dc951384ddc7efcc142afe26c6bb7ead42464e,2019-01,Northumbria Police,Northumbria Police,-1.387978,54.903462,On or near ALBION PLACE,E01008831,Sunderland 013D,Investigation complete; no suspect identified
dd9b884d8af97cfed7de5e192e52e728a278f74c7c593112e2d881c798ce52f4,2019-01,Northumbria Police,Northumbria Police,-1.536647,54.992994,On or near WILSON STREET,E01008536,North Tyneside 030C,Investigation complete; no suspect identified
440addb0659d87c51a7b2bcd337cd617fb0a71fb07e0b423ffb5b9ef440c7f80,2019-01,Northumbria Police,Northumbria Police,-1.605357,54.949770,On or near EASTBOURNE AVENUE,E01008252,Gateshead 010B,Investigation complete; no suspect identified
78889c48cc8f5a7d47601b7fc7dd66c0992b9fd83ea400a73829b263792ee533,2019-01,Northumbria Police,Northumbria Police,-1.422496,54.906344,On or near CAWNPORE SQUARE,E01008762,Sunderland 012B,Investigation complete; no suspect identified
120a2a419f6b864fa17ed2d7f78a90f3a5f6f164754f4ab9a983f642a8890315,2019-01,Northumbria Police,Northumbria Police,-1.366762,54.966546,On or near ARTHUR STREET,E01008685,South Tyneside 018C,Offender given a caution
64bf340c5103de843efaa0355bafceefc379f3639b019692a2273a22a228f60e,2019-01,Northumbria Police,Northumbria Police,-1.612740,54.974308,On or near Shopping Area,E01008397,Newcastle upon Tyne 024C,Investigation complete; no suspect identified
5f47ff381341908a9c9575e0005089331ca1db4dea1580c42907c9af22460027,2019-01,Northumbria Police,Northumbria Police,-1.516600,55.008130,On or near TREE TOP MEWS,E01008462,North Tyneside 024A,Investigation complete; no suspect identified
77ca29621cef79bfec56ad5a14acacae988f0e245e03eeabb4a72c613cae8e25,2019-01,Northumbria Police,Northumbria Police,-1.561281,54.948361,On or near HIGHBURY,E01008216,Gateshead 012C,Investigation complete; no suspect identified
4ebf37c8ae0c58b8e7e8a3aa020d3c858626d8007d331a842ada4a9bca3fc5bc,2019-01,Northumbria Police,Northumbria Police,-1.444462,55.004380,On or near NEW QUAY,E01008524,North Tyneside 022B,Investigation complete; no suspect identified
