Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6154667eb03b5d303e948a003b61a5aa2fdd6291a80ec34363e5d25ba166b249,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.169524,52.962654,On or near Parking Area,E01013812,Nottingham 018C,Offender given conditional discharge
342aabc457ae130e22d1393f8fea805e81a597ee09e2ea1c8eb21ba6c88b6589,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Offender given conditional discharge
8d6b8ca3c4944143c58f6a9b61262da5cda541e77590bda243fc0743aaf23a7d,2019-01,Nottinghamshire Police,Nottinghamshire Police,-0.812427,53.076821,On or near CASTLE GATE,E01028311,Newark and Sherwood 007G,Offender given community sentence
8474dc6796bfb2362d1ad8742e6bb328f59121f39ac86531ce4e6c77634e985e,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.150219,52.952512,On or near WHEELER GATE,E01033400,Nottingham 039B,Suspect charged
cee3464c84d5841afa27480e7978c0bbe52e4d3587d9b2bb5433b5048770bc42,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.185796,52.896819,On or near FARNBOROUGH ROAD,E01013904,Nottingham 037A,Unable to prosecute suspect
5a9e9233b4a08bddafdb8b3fcdf9eb1ae572750f4c679c475bb57f34ff0d0ae7,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
40a38ec9218c23d87f3169ed49c6b9cac131fae410b320db9d098144bb36fc65,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.186373,53.012014,On or near A611,E01013879,Nottingham 002A,Investigation complete; no suspect identified
d289db7d9bb2c2f0ed1f04aea51b6369f4295eca883efbdbaf4388d0bbd07996,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.145246,52.957870,On or near Nightclub,E01033409,Nottingham 023H,Unable to prosecute suspect
6cfeba4b50827d84480e32168c442fa06e7d58f6a1edf4c10f87341602dbeffc,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Suspect charged
a75484d005809730ed1a53c1bef56c96b2c649c0f423048df06dd4107aeeaeed,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.257581,53.100143,On or near VICTORIA ROAD,E01027948,Ashfield 009B,Unable to prosecute suspect
3fcc534f8ea6cff0aaa0b29e2703b2aef2d396d7915e2079b0da5eb2d27e8267,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
1a186824c4a892bb2613b6f1d69350cb77f2ca075794f873be9d653ddd8a9598,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.144915,52.949732,On or near POPHAM STREET,E01033403,Nottingham 039D,Unable to prosecute suspect
7b6d8fdc915fab07b4e4f8eae7a05e10ed94f164d91fd1c3ae399da6d1ef7c84,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
c193dc6a70b41f7ce070d58d2e192870347434ba0affbca6529fd5bf67d4a680,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.138885,52.955846,On or near BATH STREET,E01033405,Nottingham 023G,Suspect charged
02d53c84b19a3be9d6a9641bc73ea2e0bba41bddb55e8fe685137fa1d2a45d8d,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.235219,53.102051,On or near HILL VIEW ROAD,E01027951,Ashfield 007B,Suspect charged
cdd9045b9e122a4c09ba18b970190924c975a33522e0339f625fc1e36fdd9088,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.140290,52.946552,On or near A6008,E01033402,Nottingham 039C,Suspect charged
dcf63316f27da77931b2419523dd5e24bd2af13de82bd35b647d39d8b7bfd39b,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
cae409052f129f52b98410f4c155aad34c0fa5bc1a3aa3a145abc63f129ee4dd,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.128881,52.917361,On or near ELLESMERE ROAD,E01028400,Rushcliffe 008D,Suspect charged
9f1155a52fa40000bc80c30ecc35aefe7bce81a83663b498e55bee47d1e3b3ed,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
820c2579bf5549f660994963fbf2440cc73fb1a8ee851570b8d32924c6eddafb,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
69f96cf1af7c65e6d9c640668a5dca02aa90b36ef32ffc16e45bffae46406017,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
816695a90a5c2de5c8dd05949de9c0a080d92fbe2ca9095ff65778a7e74213c4,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Suspect charged
e677e21f28ab4667a673e2c5a1815b76a1883b594b30e1c7d738123dfb6acab2,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.139468,53.325353,On or near FIELDFARE DRIVE,E01028059,Bassetlaw 009D,Investigation complete; no suspect identified
b070e84e1e75487f717cc973ba085307bb40b18a9f403638f78110c7cb40bf61,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.274844,53.141133,On or near NEW LANE,E01027983,Ashfield 001D,Offender given a drugs possession warning
fea3920c326bed16846002410507779a23bba4b2d61e96c3c4379de2551262f8,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
0f419eb32fb812f78efbde1221cc957ae0011f60fbcbebbdf20777ed2f20e5e9,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Suspect charged
2c6471f18729f0c215b140a9e35ca4a21cf9f27e724c296d9103f21cc68fc87e,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
82f92da9655afa3ede87e5661c9cd05e84268aae87018168e6839bfa1eca0eb3,2019-01,Nottinghamshire Police,Nottinghamshire Police,-0.817314,53.074407,On or near TANNERY WHARF,E01028311,Newark and Sherwood 007G,Unable to prosecute suspect
78c123f9338379c795e245400ddf2f983dfc79deb4561b512564798b17761554,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.133530,52.965354,On or near LOTUS CLOSE,E01013959,Nottingham 021B,Investigation complete; no suspect identified
769f58a82ad62d32415405c7a08da7627321f5337ff0fb4dba716fd615ca099c,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.236257,53.104171,On or near SPRUCE GROVE,E01027951,Ashfield 007B,Suspect charged
7c857b8a0d51dae38efbe394596d024ee7d1a5a91221f863d33905fa345ffddf,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.269685,53.130665,On or near BRIERLY ROAD,E01027966,Ashfield 003A,Investigation complete; no suspect identified
06bf3599715730c219ab4c1b996bc587f0e3568f2990ae66a17532d90d7dcd07,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.248751,53.135524,On or near DALESTORTH CLOSE,E01027984,Ashfield 002D,Suspect charged
6dc8ce4fb514b4316c97fabe63005cc6bd4570b55e2a71117d8b2b3578b76844,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.042136,53.420326,On or near ESSEX DRIVE,E01028027,Bassetlaw 001E,Unable to prosecute suspect
7b5f54f7d903f7a2dddc2b26674ec2a46ba0687633f15b9fa6b00e719f7396bf,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
ab783289f41da8d0e886f8635577b2ccb698caf61d863c2dccb98a40afbbbd14,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.211437,53.149665,On or near SADLER STREET,E01028227,Mansfield 008A,Unable to prosecute suspect
d6589f25b49083c5677a50e7b560a7712c62a62a08ec287ad9d28a16ab222d48,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
2889e6625335506ecb285db2c80cae93570eabbd2a799fc7ae14aa700a7de080,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.194288,52.999186,On or near STATION ROAD,E01013888,Nottingham 004B,Action to be taken by another organisation
ad90e0f2dbe1d253a8cce4a9fd7f50fa8df36f7547885bbee36c769cfe0a90eb,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Suspect charged
8ffd2d5752e8833e53391eab252497f9e7d56ed94bfe55cf3dbc82266c058eb2,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Suspect charged
38b4a2d3115112625030cf77c6c8df5b6740112d855067879e16e4775c66e5c3,2019-01,Nottinghamshire Police,Nottinghamshire Police,-0.798309,53.093301,On or near ALEXANDER AVENUE,E01028306,Newark and Sherwood 007D,Investigation complete; no suspect identified
3d862098eae65e4a566a3ac853b29b717b28c1e86d7854b070e0c69e264fa796,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
f1ac3948b5fe3989ab64d2c013f57d9ea5649cab20767cbbd6dc64049f1bd62e,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.147591,52.955945,On or near Shopping Area,E01033409,Nottingham 023H,Suspect charged
88ec8bccbf532b13e13f65736310d987d6b33a89cb39cb0fdda6dc61809f67a1,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
375160ea83b56bf0531ad622d271423f63da9873044154e73803ae284b5fdc8d,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.250210,52.820849,On or near RECTORY CLOSE,E01028408,Rushcliffe 014C,Suspect charged
027a7ae013be77061bbbe47105f6133fb98864a257155145ba44cf6c15fe5e79,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.076527,52.888819,On or near BACK LANE,E01028421,Rushcliffe 012C,Investigation complete; no suspect identified
b7aca5e57f5dcd42e650c3040ca061c721c325647384ba3c9aaaa36f713e7919,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.125023,52.960438,On or near ALMA ROAD,E01013962,Nottingham 021D,Investigation complete; no suspect identified
030f946ab7c0ee56caf64ba1596f39310038c67f8e698a37f1bf7b15f99983b7,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
33d0248f01a5c8a3a62cd7bbecebeb0d96411a86fd3c2cb54d278bc7b3118081,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.161989,52.955796,On or near ILKESTON ROAD,E01033404,Nottingham 028G,Investigation complete; no suspect identified
2c46ebdac189d3d86fa0fefe209e3c328c62d733af160fabe288875b43bf30da,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.144302,52.954438,On or near BROAD STREET,E01033406,Nottingham 039E,Suspect charged
bd6f2e84ce58bb17a0fb3aaf9d76eb054902e7b2a4731ed45ead35d10b6b05ed,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
7132a686db121a35ce3400f162141fb58e574ad004fb58153b6a0f005aef006c,2019-01,Nottinghamshire Police,Nottinghamshire Police,-0.814302,53.185074,On or near STATION ROAD,E01028350,Newark and Sherwood 003E,Investigation complete; no suspect identified
5d9bce4b1d42f6f4a56696deda65c907baf2f86a6e23632ce5adae5fbbdb993b,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.268824,53.123261,On or near WEST END,E01027968,Ashfield 005C,Investigation complete; no suspect identified
2f53ae1de228b798aabf255bd30b00a532d890e52c90266c657dab40b96fadc3,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.127263,53.004458,On or near FRONT STREET,E01028209,Gedling 005D,Unable to prosecute suspect
81901e6604ee1c1cde6a4d2c58276a0201477a9daa8aede81f6c3a4fd1d45a63,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
5dbc79b59dce6f2f381b30606f0089d6f9d938b76d226b68acb2c874aa5b45f9,2019-01,Nottinghamshire Police,Nottinghamshire Police,-0.810945,53.075350,On or near Parking Area,E01028311,Newark and Sherwood 007G,Unable to prosecute suspect
b66b053a5c6570ac22ffcebfa0e54b77668503fe3679dc577cc71b13c95fd709,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
80f07a4523cb99205d26b09ae90b57762ca8bf83bad3ca2a3d7fd7494d913398,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Action to be taken by another organisation
32e7e0c024836e2281bb92684eb094e324b69f27053f47007e04320b248e0ffa,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,On or near SOUTH PARADE,E01033406,Nottingham 039E,Suspect charged
51211265b34d613b7341450ddff55f70a16405b159876df2fde1287846feb9db,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
bf28f01f884c2c1fdafd76617c472daf1ab04e921d3ddc3585eb0e6e1e5a5ca1,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.145281,52.952342,On or near Parking Area,E01033403,Nottingham 039D,Suspect charged
a1bb818a045ffccaf68009b46f133621b8942be5767b8d83c04c74930e1fbdba,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.239766,53.097433,On or near ROSEBERRY STREET,E01027949,Ashfield 007A,Investigation complete; no suspect identified
6f91a5898cdea81aecf8a24a681c9afd760670faa102905a2f2ede7ac36c00bf,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.195078,53.156891,On or near YORKE STREET,E01028271,Mansfield 004A,Unable to prosecute suspect
9ebaf9a08e490b216fab4b9f63ceee18f8c5ff4002e8b379b811ad14640871f2,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
183755307f783d35ebc35d78223de715c8500911bd3840ee6e5131becc95ebb0,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.128334,52.937943,On or near RICHMOND ROAD,E01028384,Rushcliffe 004C,Investigation complete; no suspect identified
7c9be878b72ccc7b96609ef92f7c57548812ff68708079f61561380ed24cc982,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.143330,52.955393,On or near Nightclub,E01033405,Nottingham 023G,Suspect charged
5d599ad4081331b8e9265a4c920a074401977307f065ce40ebcdf965ab1ebede,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
2cf01cd00e5f04c8df93052bb9476d69d6c089c97b07cb8fad2e1b38008ef068,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
a7ffd6a9efcc6dce7bc4f71b5d54d5202af09c58535d88016a30adab5530101d,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.304749,53.017484,On or near Parking Area,E01028112,Broxtowe 002C,Investigation complete; no suspect identified
69d01daf4b9517e99d43c91d9816d65c987b6915803bb90fb77484ff3d895bf9,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.182694,52.959769,On or near NEW ROAD,E01013944,Nottingham 026A,Investigation complete; no suspect identified
03377068e2fce631a5f221a09237ae5f25291e293c299394497f145f24ec93eb,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Suspect charged
faea0a5593e9daa1d991842644e384b8b13446687d89ac2b0e45db451117f53c,2019-01,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Formal action is not in the public interest
33f388aa7631a0a006b42b3937aa8a018cae252c32eba3c05c4a5bcdb31b2ce8,2019-01,Nottinghamshire Police,Nottinghamshire Police,-1.213686,53.136223,On or near SHEEPBRIDGE LANE,E01028246,Mansfield 010E,Investigation complete; no suspect identified
