Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ee93ba987f536535486faa772148ecdd267ae300cdf4853e1c32b4ea162da109,2019-01,South Wales Police,South Wales Police,,,No location,,,Offender sent to prison
a7fe1485b13c7c28b86bd31c365a69246776cd4fba0e7dc47de584832a233ea5,2019-01,South Wales Police,South Wales Police,,,No location,,,Offender given community sentence
1e4640d06f5ceb076a1679523fa0578dab9824fdde1b1c748853789a8d6b9c39,2019-01,South Wales Police,South Wales Police,,,No location,,,Offender sent to prison
129587f96b7477d6e3afbd532ddc2809a192e9e2ceacbcc0b8a98e38065bcbd7,2019-01,South Wales Police,South Wales Police,,,No location,,,Offender given community sentence
5bcd84ed54431d10b21d7521e01e089edbcfeef5a27f3f8b7ecf7736bc84c6ce,2019-01,South Wales Police,South Wales Police,,,No location,,,Offender sent to prison
cad38c94bb376fa2f4301c1e38775fb79b063eb4ef4ed2002d9b6a2bd49cc669,2019-01,South Wales Police,South Wales Police,,,No location,,,Offender given suspended prison sentence
270e4d7d85e9c0aeda267273bba3d79e481b7c3f008642ab9f9a8118cf17daeb,2019-01,South Wales Police,South Wales Police,-3.319300,51.563552,On or near WESTON COURT,W01001915,Rhondda Cynon Taf 027F,Investigation complete; no suspect identified
792edcf26b58fcf88fa96c2af5ebf5c32e3b441f99de518c87d862018122ae17,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f7e1348612254d514e51b0ffe37398796b69e133b6ad659946555e1a367db118,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ec6dcc50b54f55af148940c317c32601f66613a38440bd597d27dbcac32a61b6,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f0f615e425a16704b105005b8885d42d1af0b775efb604534e2e9a0fa6d7da8a,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ad932cf2f2f387d5074be8161875770f0862bff40fdb5cbd5ac82b4be8eb959d,2019-01,South Wales Police,South Wales Police,-3.159661,51.492468,On or near ROATH COURT PLACE,W01001833,Cardiff 033D,Investigation complete; no suspect identified
668298071fab61589ba55abf758bc3cc1f885b8cba9ba0b20bd201d3d92f0a1b,2019-01,South Wales Police,South Wales Police,-3.957400,51.622570,On or near PENMAEN TERRACE,W01000869,Swansea 024C,Investigation complete; no suspect identified
3b3d1bdf8d36e6bab7986f2c2f048e076b706e232dee820c7bbc8d0ee05afd69,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d0a40cbec37010ec0238c8a2a84a030feea0634fd6e68e60dad7b9ccc0d7bad5,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
6685408e0162f15d6ec78b1d329e4d5e4076b432fbca080c715585d544863f68,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
70fd77e9ee5440ef40bafcb374e50bb1d2459230bcae3b26f41b8685ffcdd2d5,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ed7a70b04cad7d15294460893887b9dd1fa9ab8f623c00b9266d7a9ced329d59,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
22d576ed4b74ab4e50d179b082920cea6aa0b71eebb184b4b2b45f77f79c8c7c,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
bf9a31e1ef7465e4b71063d5549270938ee206e2526b572b7852bd13f2d0479a,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ffc0b4a0d0fe03634547139788148b5627ebf8d551f318acb2cad01498672db3,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d0933ec2a3aa2a43b709df41a50ac65109fbe6c4324a0b8d5395393801b8c1b3,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a6e18efbbb29b00940f4966408b05ba0a2b7315020c52a0d4f2c8a79eb5cd3b8,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
4f522e30b37f157c5e7668e6ef1898630215f89da1c8208273243ff4c1da6360,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ffdd03d1c419da17a7403351680cfb158b6027cbbb4249d069eaa42012089166,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e7999f3331b78b7ca8d8a30957da53263b8202851ec6209014c6b70c2ee4d982,2019-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7b4d7f95a1d134cb35e43a6d70c7206402a672abe66a4fa7b40ac26d473c3a4f,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
3898a599f33301d9bad596ff7a51d7d41695404328b2ce7e2036465d94256f72,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
e4ffcd09c61b0b482b793e444da652c25760eabd71e0a550d9926746a35c91c9,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
34ef05084bfe308444dc2d42a0232f7f633198d389f86f98b926cdfef28ca139,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
216a9d0c2f7a64740a851908f83f32f7af533ae6a2a99aa5e4084827ef315eae,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
9c3538a385e94bbb9621d4d8b6ce69a87d5d67565adab4fe5dfc3338e081776f,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
ddcff6e3898bfa0e8c9b0d86d9a850df3d22b43586bafd201dd0b5f584f1806c,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
f427a6a6ba32933e603a4cda0fb8668a5d0b82f6feebf2d974a21221d5d42484,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
a30919cb0c5b8fdade9be1965d59eefe551544a5bd2b448172ce82b7ac6da0f9,2019-01,South Wales Police,South Wales Police,-3.342528,51.597368,On or near RICKARDS TERRACE,W01001183,Rhondda Cynon Taf 021B,Unable to prosecute suspect
80d68176a2be1347873f4634282c207f6e75d7162e163884f5c61c17edd9310c,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
44c62566b1e4b4d1e23cd5cb51f75a254cebf6bdac554f494c7974a88556c18d,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
2032f1fcff9ec8dd7ee180c93a29dcbd58c9f58877655353299318110db12940,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
bda0014f08ae25f1ff7df89d240235e183f29886086e04c97765d848899fa9a8,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
e3af54b03d5994e64dcafbd1dec300effcb56b057a785ac710979eddf6e2189f,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
5231b36a3f2b8a8eada86fba1c4a6222a134dc91f9f6bb9ca025e7a47d18aca7,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
7d7c54968b3092b2892c56bf1e567d7d23526beed19f0dd51d9b762fd5b0fcc6,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
c17286dbe373a59fb8a352d49c01a2c7d47a26496326194975677de0669f9aeb,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
4bfe816e6564821857ea82073e871791bc90edc9fc8355e10706fd8e8af99239,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
58b32ddbd9727a13bb064c8c3dae1bf75b20e5975079fddd628d58c1cac462f7,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
db69d9a02e6d8108487550486633c885ffac15a3d8854f750e9440be1d60e8c4,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
e0e1e6733f241705041d8447cf531bfecedada650734cdc9a829d9e94654c5d3,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
6dea92351eb4ad3139b578b826828cc932a754c694f2ff35654d250a49690cce,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
8b265d134863b31cfe076125db57573f5a383770988e400b1b4bce54fd5f4f1a,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
b49de4175e5c433fc09adc9ff0c4b43fff036042886d69e5a4dd9d75a38f0627,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
2ff5b65e719c22800204769d82fb023e1f281cd9242df7d81067014d6003e7e6,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
edbe80b66dc41954b1d453529db8eb8163878eaa1899b1a199f39be56497fe93,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
fac0259336d12e21cee24cf5587d3e6e6dbaa6fa6bda2c63094269b4d916c725,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
24eda2bf03db882913cfdb97ab5ec29f6e886df97ea7286a0d6564062dea9cdf,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
c64eb908d238d9412b7874bd771347eed75e2e978a44f8bbb92ccdaaafa17de5,2019-01,South Wales Police,South Wales Police,-3.369251,51.669731,On or near HOLLY ROW,W01001209,Rhondda Cynon Taf 008A,Unable to prosecute suspect
0562f547266f60ae02df9cc9d51c9408896cfa134b445da6cbf091469bf30806,2019-01,South Wales Police,South Wales Police,-3.160262,51.483830,On or near SYSTEM STREET,W01001696,Cardiff 036C,Unable to prosecute suspect
f66c8814fe7813e9527e76e6755e6f64276bc39a94d657d776ec06a363f0f4b9,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
d05b53056cbb68b8758c624a3dbe5867723cbfc18867d97dca16a64fc1358150,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
d593f2fdb57c90030a954b41714a85dc03d84b272ac89b8c9d53ab38b85d862b,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
1c6adfb7871f22d619aeec728e672e69640e2ec75ef559c718853acb9d895b61,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
de588cf7a58a87465055524fb25f543dccbc8a356af81f6748eeefe86bebc06a,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
7ad0d50146726f38293f55234579c488fe8aadefc97919d34dd36fa3939a71e4,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
97db6bf4243b36ecf50e0204b0ef086f123b4f82b09e12e7f577ef03a5ae3d57,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
b859a096c62d9107d52ce2bd382be33f713c3110444724f3441a2c3aa8756027,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
ee93ba987f536535486faa772148ecdd267ae300cdf4853e1c32b4ea162da109,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
0e9ac4ed7ad5c48a361c1116ece0426594a58510b08553b5153ed281ede141d5,2019-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
7e40a785fc4c6a05e7e20a52fba6fc3b39a39143c96ba03cb1934030d5114efa,2019-01,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
