Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e420482d03b0922e0b904c77db425b29d358b4722ca2129249def66d812970d3,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Defendant found not guilty
4b99de16ab90d419e2da1fd7d1130a8f541fd629a555521a6072d73e35dc8a8d,2019-01,South Yorkshire Police,South Yorkshire Police,-1.479718,53.578741,On or near WAKEFIELD ROAD,E01007324,Barnsley 007B,Offender given community sentence
e240819bcfc68d72999b9e99278317ed181b717dd316c88bf94ecd8fde3bb2db,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender sent to prison
8b0a7617bf62e83996caa4d0f8c2cb6b28a18cbf136467a6cd0a1990ceaafd0a,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender sent to prison
2c0c97eb278f5a456af5393eda57f4b3bb939bb66e2ca7613c1380ee7b19acb5,2019-01,South Yorkshire Police,South Yorkshire Police,-1.396843,53.418508,On or near LOCK LANE,E01007913,Sheffield 018C,Court case unable to proceed
9ffb16c5cebe5ea0ec41a698dac77c8cb80bbe1d41f36f25beb6ecbaa2370670,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Defendant found not guilty
50d3f9fbca5bc26ce2176d379eaf53f853c6b453c823f558edd746a8956d6da8,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Court case unable to proceed
59f18c4d4207ee9af337d57f5ded399ed08ba305e873e2059569f0ce10401b01,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender fined
1a44fe8d71a83da795fcc5ba5a20bf3ca4519654d5edeaadf21772ee0f7d9804,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given community sentence
5ce3db7cbb7bfbae97af2ea57f166e1eab192c183e0bd0ab416e5743a3a01ec5,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender otherwise dealt with
c1cf8774f566c67b452613bea5c209ab3525902a481e3baf9b485e312943f519,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
3f8d14f0bb939a5a6e87d75ba7875e643ac9d3f274820c2351963d1cd6df94c4,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
1624d123a8f862a15a6bc7ff0ab990de0a6e87475d2fadf6ee2a80f73175f14c,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b104870d719b20d1de345f3063117eeb04135f15136daf3f7f4a9a1c2c6a71fd,2019-01,South Yorkshire Police,South Yorkshire Police,-1.500381,53.377135,On or near PEEL STREET,E01007867,Sheffield 030B,Investigation complete; no suspect identified
1bacfafa57fb58ab9cb43ddce386d6836fd4d1ce9651bd1b82f636f5c5fd590c,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f37e60be651f8e8199b98e32ee07174b8519b0a57f417aa11add2040cf80f5b7,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ae5605bd45903737342500e36990ed6c02fe7d86868cac42606782b51424fc50,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4ecb3435e593e6cbe16f109b8583525602bbda4a6b73e9154db0df51ca3f7b93,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
84990d15afcb4f1f8b95a8e9725aa773ef474fb7f528cffa3831673b85b89e83,2019-01,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
