Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3a3adfc5184bf028dbb1be1088afec47b6e801ac1807abb8fca9554f36f52b7a,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given conditional discharge
29cb3a26d476ebbad07bebe495b094e7de855ad923b24a7abc0327a410681c85,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given community sentence
4d1efa48ce2ce13b49458698f40509b6bd74a077722d06ce645d068a283fc3bb,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender sent to prison
6fdb0bbe2fb88908aef794c04d58ba06ece94bedbbf0ab9bcaa0ae683eb4e74f,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given suspended prison sentence
54a0bd7e35ffc81a04c4941d0376a6cea31cb9a27a2a4794e6748c3bc346bb1f,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given suspended prison sentence
7da492d3c0ac2ed0d7ade6b63ef144752f78ba8611c609d6741521465b086cd6,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given suspended prison sentence
9f0d2eeca079ea437fba250734405f83af6b61513a0cda2c3e95966b20537519,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender sent to prison
a109e26db541f186b278d9b2a3c915d4d784f322d6fb6bbcccf9fc1ea5d6603d,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender fined
1ae329f202e3d417521cd5150084ff48469d40beab41179877cb5fd20ee9cbeb,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given community sentence
3973138c5b2414f15722b19a7184c8775646a0e4f4afdbc1d1f0f8d07408f609,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given conditional discharge
adb0bd1a1707a03042515310d56c239f29df898fdfd2ab261f0e3f6463f32487,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender sent to prison
3ee3dc1f473c1c52146eae381fd118cf0a6e0860cb8e04ee04034ea2dcc78da9,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender sent to prison
cc66c393e55c234d39d07820513232564f05850dc8067f9b0064ff7aec464b6f,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given suspended prison sentence
f25a180d8385e222a82384cdcabfb4ce19a2872d3def08e4364045fc16d56424,2019-01,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given suspended prison sentence
