Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
58318ad463079b7f9ebcc29d259d50e16b5f61912632fd71b2db8a754bdd1ac1,2019-01,Surrey Police,Surrey Police,-0.167881,51.241912,On or near LONDON ROAD,E01030612,Reigate and Banstead 011C,Offender fined
53e86304ab29293f922f92d18ba58ea7d6a062701a4e86e78fab08007996a806,2019-01,Surrey Police,Surrey Police,,,No location,,,Offender given conditional discharge
5b6ae63c6a276d26c6968951142ca8777094bdcc0edc48bb31ee36bd91010e8e,2019-01,Surrey Police,Surrey Police,-0.267812,51.342488,On or near ALMOND ROAD,E01030385,Epsom and Ewell 007A,Suspect charged
d8143ad9eeaca880f3309fdbaaac1b6e203b3ec49af1e85f428133a662b11a19,2019-01,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
ca3637348202ea2dd7dde3c0c2ce9d2487f0e5dad24f18611120872198a5fe2b,2019-01,Surrey Police,Surrey Police,-0.250675,51.314392,On or near Parking Area,E01030380,Epsom and Ewell 009B,Local resolution
bcaa9c2f9e20425248589dbaa57f6bd47cb91eb3d18de2c701c7e2d9c33a6346,2019-01,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
17ea7636cc50e996f15f4a668af3d374ca3ecf8957263253ffe9e1106b8f4dbc,2019-01,Surrey Police,Surrey Police,-0.569782,51.246659,On or near LIDO ROAD,E01030438,Guildford 013A,Investigation complete; no suspect identified
e8d9d135f53dffd76c3c7e9d5ea611cb394c8f4f978c10d9952e2ec7018e8c06,2019-01,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
d6833efb334b2d35330bf9ade3d3a8488ea4ba17c6a62dca40a73fe3746391b9,2019-01,Surrey Police,Surrey Police,,,No location,,,Further investigation is not in the public interest
9bd816a48b36acc29b3b372fdcc8f033c20fa389a23ffe2a9b5a9124e08e81ce,2019-01,Surrey Police,Surrey Police,0.038876,51.297001,On or near MANOR ROAD,E01032571,Tandridge 012D,Investigation complete; no suspect identified
26a9822561b938ca95e05c0a90c206dac9888603d4200542bd7e6ec9d90bad26,2019-01,Surrey Police,Surrey Police,-0.555749,51.322301,On or near VICTORIA WAY,E01030964,Woking 003B,Offender given a drugs possession warning
