Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bf9b2a4e32a3de5e84eb8e5d9e558c357231978d06c820b76f3e75c77f70be66,2019-01,Sussex Police,Sussex Police,0.052370,50.787561,On or near RIVERSIDE SOUTH,E01021045,Lewes 008A,Offender fined
1a872dcc114c72adcc2dfa00cdf5f5e0a71355b4eef3a9e6d08cd6e703b5fc9a,2019-01,Sussex Police,Sussex Police,0.278852,50.796558,On or near STATION APPROACH,E01020922,Eastbourne 004C,Unable to prosecute suspect
7bbd362b3dd84068c1995c166a4a7dc3d3bee3053dfbcaa43ee28e7e5ace0b04,2019-01,Sussex Police,Sussex Police,0.252138,50.781068,On or near NORTH AVENUE,E01020941,Eastbourne 006B,Unable to prosecute suspect
029bf9726fab3d27936c4b55f45ec3b82f4f5191108ae929e39a9ee4d079f8af,2019-01,Sussex Police,Sussex Police,0.264990,50.806002,On or near LIMETREE AVENUE,E01020949,Eastbourne 002E,Unable to prosecute suspect
266c3d5cf2b7de2d2f5b76abc1a7f7ac2c89f7fcd3a1dc232b8c3cae4192c421,2019-01,Sussex Police,Sussex Police,0.273955,50.801214,On or near PETWORTH PLACE,E01020919,Eastbourne 002C,Unable to prosecute suspect
060fbee4aac0c594e96804eeb3221a3ce5b9a81a4c9a9b490b0db078eaf5fdea,2019-01,Sussex Police,Sussex Police,0.281344,50.798470,On or near Supermarket,E01020922,Eastbourne 004C,Suspect charged
667e050f1bd4c3edad4bf3deda78148d80f08003bebda13e693ff6215787b910,2019-01,Sussex Police,Sussex Police,0.277528,50.797627,On or near BRODRICK CLOSE,E01020922,Eastbourne 004C,Investigation complete; no suspect identified
beb5b9a0633464726d8a121f8cb65fd1145f02dae52017b7364aec95a919ef65,2019-01,Sussex Police,Sussex Police,0.251055,50.772095,On or near SANCROFT ROAD,E01020938,Eastbourne 009A,Unable to prosecute suspect
3fc03629c1d673d0163d7830a7c24a7d53065ecaafdc44b10324161d462f3789,2019-01,Sussex Police,Sussex Police,0.277446,50.803529,On or near PERCIVAL ROAD,E01020918,Eastbourne 002B,Unable to prosecute suspect
337fa035e2de87a4966f51cc71d02d8779cc25afcf1c913c47a37008845f6ca2,2019-01,Sussex Police,Sussex Police,0.264846,50.772781,On or near CHURCH LANE,E01020943,Eastbourne 009C,Investigation complete; no suspect identified
92b9847cc5665bfc80620d200d7f732eb51d174ecdfba72f99ae95dfbf9163b2,2019-01,Sussex Police,Sussex Police,0.270734,50.807077,On or near BYLAND CLOSE,E01020917,Eastbourne 002A,Investigation complete; no suspect identified
f771bd09d448d6eeeef99b69462ce9dc8c6a7525643aa5e810cf70b438140651,2019-01,Sussex Police,Sussex Police,-0.135573,50.825054,On or near GRAND PARADE,E01016969,Brighton and Hove 027E,Investigation complete; no suspect identified
c8c2eb2ff2aad3d7342815fb5aeaac0c3b8e4673986444fe3b22a9fef7e9cbd7,2019-01,Sussex Police,Sussex Police,-0.138347,50.831699,On or near MAYFLOWER SQUARE,E01016964,Brighton and Hove 027C,Further investigation is not in the public interest
68fe53678040d488581ef6c9317096d149852f8ab35504281c6ed339bbc0cb93,2019-01,Sussex Police,Sussex Police,-0.145760,50.822392,On or near REGENCY ROAD,E01016952,Brighton and Hove 027A,Investigation complete; no suspect identified
ec48e2a7fd4dfedb26956e97116f51a1a4139fa52db1c6f39cea27a11ad67f67,2019-01,Sussex Police,Sussex Police,-0.141626,50.825672,On or near Parking Area,E01016969,Brighton and Hove 027E,Unable to prosecute suspect
23d3c61f0a5fcd6b36971a263e4469d4cab9af687d32e4f0ff71681119a219cf,2019-01,Sussex Police,Sussex Police,-0.143551,50.835479,On or near PARKMORE TERRACE,E01016936,Brighton and Hove 014D,Further investigation is not in the public interest
a35c01f99eaeab777f48c9048ef1b762fd9129ef3c6f28f7d1eae8fb4595edd0,2019-01,Sussex Police,Sussex Police,-0.183467,50.833085,On or near PORTLAND ROAD,E01016991,Brighton and Hove 016C,Investigation complete; no suspect identified
daa52af9c88a17d93632402290177f4f6fe94f3853aa089c8c3ec97aef119701,2019-01,Sussex Police,Sussex Police,0.465569,51.019464,On or near RIDGEWAY,E01021134,Rother 001C,Investigation complete; no suspect identified
8bbee3a230224090681a72e95357d99a7b82b390f3c37f1d44ab7c4e891e710f,2019-01,Sussex Police,Sussex Police,-0.177591,51.161119,On or near Parking Area,E01031575,Crawley 001C,Formal action is not in the public interest
3770b36adbfbf5dfc4c0f544944aeadbdf7fa7516d8566767692c85652c42f61,2019-01,Sussex Police,Sussex Police,-0.298009,51.070207,On or near SHELLEYS COURT,E01031670,Horsham 001A,Unable to prosecute suspect
f6f883631c5ddfcf97bbe016473b64c7fbc141f87a49f899dfff4455c168e894,2019-01,Sussex Police,Sussex Police,-0.094386,51.006055,On or near GREENWAYS,E01031753,Mid Sussex 010B,Further investigation is not in the public interest
18cb253620dfbbeb702ca73d18dc216c3cc6c7f155c456315f73715ee1b1f55e,2019-01,Sussex Police,Sussex Police,-0.091099,51.050005,On or near CHURCH LANE,E01031694,Mid Sussex 006A,Investigation complete; no suspect identified
09ffba3930082f8d764bbd25c0cbb9b43bb470b80948b8a916ed416c3b7dcc6c,2019-01,Sussex Police,Sussex Police,-0.005899,51.123873,On or near HIGH STREET,E01031742,Mid Sussex 001F,Investigation complete; no suspect identified
d449068cba86e708e001c4443ead114f9c69f9a0b20748d018ed194cef0c7948,2019-01,Sussex Police,Sussex Police,-0.068760,51.108183,On or near SISKIN AVENUE,E01031721,Mid Sussex 005A,Offender given a caution
ad737823dc2d64d21d5179fa51c09724ef1ec0af9513af5d05a943827fdf4387,2019-01,Sussex Police,Sussex Police,-0.016264,51.126109,On or near B2110,E01031743,Mid Sussex 001G,Investigation complete; no suspect identified
