Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4bc72845bd46b6415758ebc45b53db47e6f4299f6f9e836f762f90c7e1920b7f,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given conditional discharge
11e47228d808b3766184affd8e3efc5c47b69a289ded44f205e465c57f9b6540,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given suspended prison sentence
1322d4e642480e8bb89fdc503f88a60d33559a0374732c2e29ece5b16e42484f,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given community sentence
2898eb44b95d6f3409a36bb53835269b561ae1e22733266a86baef52b1d09586,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender sent to prison
23415254fb77766b179f46c59cce12fdb7ad26412a6454cc4ce85e6e847c8b79,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given community sentence
1ca81f8fc36330e0003412d03b29e51d781a7089985db26b560cfc3860e3757d,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given suspended prison sentence
919ed707defeb487f89751b7daf62bba220ec4b5a623ffda6376b7f727aab6bc,2019-01,Thames Valley Police,Thames Valley Police,-1.032997,51.633482,On or near HAMSTYLES,E01028679,South Oxfordshire 008B,Offender given community sentence
19b71d86d557b8392220613c11b6d9a18e9c2cf732ef3c26b136ca7822f31c6e,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Defendant found not guilty
c6e9fd28db364787703f06446091fd4b444996e49fdb5d42aece415a41569b5e,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given community sentence
6f0432add77636eada232d25f8fbc053eafd5ce469c8c3d5d0f9c56fd1975dc7,2019-01,Thames Valley Police,Thames Valley Police,-1.134726,51.894547,On or near HERON COURT,E01028463,Cherwell 015A,Offender given conditional discharge
638087fc33f2888f6020e223ea3c47565bac802aa0e1c9826226ddcec8a390f6,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given conditional discharge
fa49ab5d097304a42b8512ed1036526ee9115926dd6a108621552f98632817ec,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender sent to prison
5b151bad8ad7848fb376438d614e3539d9c74e035e2087098ab4af559e8ba47a,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender sent to prison
7746d5de09a4282bfe941a6000b5bcbdc595d257cb868c4aa3b72acd0b036bb1,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender sent to prison
fa4225d042410cd2bd93356e99e310e86d668a1a147b24d62b31fbaae3f4f789,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Local resolution
4fd772f70cf73fcf6896e7338cc265566704a3c67fcc442522c981a8fc1dfe48,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
ed84e4781d200b379a8e35626ffc9147ad54dd00ec4dac6378cb178eb280aae9,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
1e2b03c043eeaf85db10d7d98a573b0039db51ca23e1b12385070e1d05bae7e3,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
a145b1ef1e6b5fd168d6185a5460578217e8616786b4e04ad20470a7d335c4ba,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
b90d3dffdf1da4def7a784aa75d0829ef31391d7c3c43a535523a4b7d20dfe2d,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
641b9edd4f874a92ca4fe2c564496d06103b60fe8f7c2befd8788ac76f8c3be3,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
520eda264fcdf37bbc433573ad3dd4a9a2cd8495373a7a69fe1dde4ea65313a0,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
fafbfa5cb162199448534e990ede209adff32094166156e1f1cd30cb476b4a4e,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
d5f9f3b365623fc0dca6d9ab398a1b168a3d8bd5c028ebc71aba0a317454ef72,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
b0a562621b589ab18c2f894f01c9356701e07464584cdeb319764247f6f84dbf,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
bce12df29441e58bed65f7939de99ef058fe90b00b098717b78af6d9b8b82b12,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
bbea7c3760ba7d937e683ad1c550b21c34a98e439cf3a8d052cbbb20e0e6d50e,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
68ea187581de048c60ba144000eae9a51b98fae31324e5b27dc949bf0b5791de,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
67be4de6fde7553bfd22157e0a5d4cb01214e577a6f9d6e7336c311dd65ad1aa,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
cfbe7d2d77a88ed3014c67263b3e523a7ae31513555e4e12f92eed19d0d9eb79,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
5ad8fa8dc4bf5d0835cf5dd38afc15f7d1b2914b9e90dfde15bd9c06ed9086d9,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
a1cc1b9e66820cc7ec383e75cc01d88723dd2d21a8b3b4fc6031cb45e108721c,2019-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
