Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6f0d45b1dfba9e2f5e54b625b9ca07e0f1c6e74afac0b3c3a3859e86328ffe00,2019-01,Warwickshire Police,Warwickshire Police,-1.615180,52.617260,On or near Parking Area,E01031037,North Warwickshire 001C,Offender given a drugs possession warning
3c22610d85f4a4aef65ff57073eb5e0d5aad644f5f0e6253c282120f0db0e5c5,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
a246b4559fc07de0f964c03f3d948610a8047527964915f294c7a5591e298ded,2019-01,Warwickshire Police,Warwickshire Police,-1.479671,52.521819,On or near BENTLEY ROAD,E01031047,Nuneaton and Bedworth 005E,Investigation complete; no suspect identified
d320d75059b294e2e303eb069d40e0acd9af6804f98de3a911b4495d39e604d9,2019-01,Warwickshire Police,Warwickshire Police,-1.586456,52.280450,On or near Parking Area,E01031317,Warwick 012C,Investigation complete; no suspect identified
b626891e0a4583f5d6cbe95f75a40ee7384714f0b77bf93049c552ba8ec21f04,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
7f99066f5b4f578bfe63c83e88e5e2225e09aafa9ab78b7c90558df736fce5ee,2019-01,Warwickshire Police,Warwickshire Police,-1.281343,52.258094,On or near PARK LANE,E01031224,Stratford-on-Avon 004F,Investigation complete; no suspect identified
44a1d5d83823909874be8dba463f1082ca4a558d625b281a3ec53a36f86741d9,2019-01,Warwickshire Police,Warwickshire Police,-1.474939,52.510812,On or near ELIOT WAY,E01031049,Nuneaton and Bedworth 008B,Suspect charged
965a0327f5cbff9fd9c4cc0a4fad2df81dfceb46362c947d2abe668cc624e4aa,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Unable to prosecute suspect
73a3f7fc593cd2064283520d1a0f8a4b2c43774c39ce90363977d436a5424bfd,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Action to be taken by another organisation
4418d37c49b8d8717395f8d298eb955974af532c6afc89385108300a71c714f8,2019-01,Warwickshire Police,Warwickshire Police,-1.547865,52.274285,On or near PLATO CLOSE,E01031315,Warwick 012A,Investigation complete; no suspect identified
1cb9759c1fbfd7719382c8a1d88cd52bc3ea5511c22f51760f86e79896db5ab5,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Suspect charged
3185cde58e5b490431ae42c14a5c1dacb5b28dd634a16ac510135c1bc19cb25e,2019-01,Warwickshire Police,Warwickshire Police,-1.565231,52.290946,On or near MARSHAM CLOSE,E01031309,Warwick 008A,Investigation complete; no suspect identified
ddd0fade521b16f4bf03e2c58594cff1330150f79ef49a522bb4079c3e8e3f57,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
d73136dddd754b080f9ceed8c9d2ce7829dd91f13a2385625904d797750b18ad,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Unable to prosecute suspect
28d6391cec609cfe9e03ade4efb7e587986c01393c1a02db35a986e816365cbf,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
c5ddbdd3626500a6b5d01dee29eb61f77e9dc7aa4c213f619920ee1005ecffe0,2019-01,Warwickshire Police,Warwickshire Police,-1.780131,52.292207,On or near HIGH STREET,E01031202,Stratford-on-Avon 002B,Investigation complete; no suspect identified
4672504e5615f6b33a6cb4ef566280b4baeaf8e5db33623e8e7efd7ee0a5ed64,2019-01,Warwickshire Police,Warwickshire Police,-1.544744,52.292820,On or near UNION ROAD,E01031294,Warwick 009E,Investigation complete; no suspect identified
07002de716cf4d9c67c4567e5e95263b2e331f3d8eee7adaeffe3ca680b4aee2,2019-01,Warwickshire Police,Warwickshire Police,-1.643088,52.603728,On or near A5,E01031025,North Warwickshire 002B,Investigation complete; no suspect identified
9fb44dec972fc36907c3b1d56f87eafdb849ca08faef669083ca53d05c788fad,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Unable to prosecute suspect
125d2fe051650ad6401b30854c8162feb6724f218d2be8dcd232dd5a2266d1a1,2019-01,Warwickshire Police,Warwickshire Police,-1.477821,52.523698,On or near DUKE STREET,E01031046,Nuneaton and Bedworth 005D,Unable to prosecute suspect
f7bbdcf4c2adc71799429bd27b96438b54876a699262cb1e1f7d63cbacfdc4a5,2019-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
ef94b61afd2f27d944b5d1a631076658dd35d061068c67b79a58a23541697dc8,2019-01,Warwickshire Police,Warwickshire Police,-1.534224,52.282359,On or near PRIORY STREET,E01031266,Warwick 013F,Investigation complete; no suspect identified
806b100660f8f78073c1d37188566b9d9ce529aafd4beec9709f1bbd4cf7303e,2019-01,Warwickshire Police,Warwickshire Police,-1.520021,52.519418,On or near PRESCELLY CLOSE,E01031093,Nuneaton and Bedworth 007D,Offender given a caution
